# Config: example.ini
# Date: Wed Jul  8 16:35:28 2015
# Center: 1046928313.0
# Span: 120000.0
# Points: 2001
# P	f	f_ref	freq-t_ref
0.000	1046947933.0	1046948053.0	-120.0
5.000	1046948053.0	1046948053.0	0.0
10.000	1046947873.0	1046947933.0	-60.0
15.000	1046947873.0	1046947933.0	-60.0
20.000	1046947813.0	1046947933.0	-120.0
25.000	1046947753.0	1046947993.0	-240.0
30.000	1046947633.0	1046947933.0	-300.0
35.000	1046947453.0	1046947873.0	-420.0
40.000	1046947273.0	1046947993.0	-720.0
45.000	1046947033.0	1046947933.0	-900.0
50.000	1046946613.0	1046947933.0	-1320.0
55.000	1046946373.0	1046947933.0	-1560.0
60.000	1046945773.0	1046947993.0	-2220.0
65.000	1046945233.0	1046948053.0	-2820.0
70.000	1046944513.0	1046948053.0	-3540.0
75.000	1046943853.0	1046948053.0	-4200.0
80.000	1046943133.0	1046947933.0	-4800.0
85.000	1046942473.0	1046947933.0	-5460.0
90.000	1046941693.0	1046948053.0	-6360.0
95.000	1046941033.0	1046948053.0	-7020.0
100.000	1046940313.0	1046948053.0	-7740.0
105.000	1046939653.0	1046948053.0	-8400.0
110.000	1046938813.0	1046948053.0	-9240.0
115.000	1046937973.0	1046947993.0	-10020.0
120.000	1046937133.0	1046948053.0	-10920.0
125.000	1046936353.0	1046948053.0	-11700.0
130.000	1046935333.0	1046948053.0	-12720.0
135.000	1046934553.0	1046948053.0	-13500.0
140.000	1046933773.0	1046948053.0	-14280.0
145.000	1046932993.0	1046948053.0	-15060.0
150.000	1046932273.0	1046948173.0	-15900.0
155.000	1046931673.0	1046948053.0	-16380.0
160.000	1046931253.0	1046948173.0	-16920.0
165.000	1046931013.0	1046948173.0	-17160.0
170.000	1046930833.0	1046948233.0	-17400.0
175.000	1046930833.0	1046948173.0	-17340.0
180.000	1046931013.0	1046948173.0	-17160.0
185.000	1046931373.0	1046948173.0	-16800.0
190.000	1046931793.0	1046948233.0	-16440.0
195.000	1046932453.0	1046948173.0	-15720.0
200.000	1046933173.0	1046948173.0	-15000.0
205.000	1046934013.0	1046948233.0	-14220.0
210.000	1046934853.0	1046948173.0	-13320.0
215.000	1046935813.0	1046948233.0	-12420.0
220.000	1046936713.0	1046948233.0	-11520.0
225.000	1046937673.0	1046948233.0	-10560.0
230.000	1046938513.0	1046948233.0	-9720.0
235.000	1046939353.0	1046948233.0	-8880.0
240.000	1046940133.0	1046948233.0	-8100.0
245.000	1046940853.0	1046948233.0	-7380.0
250.000	1046941453.0	1046948233.0	-6780.0
255.000	1046941993.0	1046948233.0	-6240.0
260.000	1046942353.0	1046948233.0	-5880.0
265.000	1046942773.0	1046948233.0	-5460.0
270.000	1046943133.0	1046948233.0	-5100.0
275.000	1046943373.0	1046948233.0	-4860.0
280.000	1046943673.0	1046948353.0	-4680.0
285.000	1046944033.0	1046948233.0	-4200.0
290.000	1046944513.0	1046948353.0	-3840.0
295.000	1046944813.0	1046948353.0	-3540.0
300.000	1046945413.0	1046948353.0	-2940.0
305.000	1046945773.0	1046948473.0	-2700.0
310.000	1046946133.0	1046948473.0	-2340.0
315.000	1046946433.0	1046948533.0	-2100.0
320.000	1046946613.0	1046948473.0	-1860.0
325.000	1046946853.0	1046948533.0	-1680.0
330.000	1046946853.0	1046948533.0	-1680.0
335.000	1046946853.0	1046948533.0	-1680.0
340.000	1046946673.0	1046948533.0	-1860.0
345.000	1046946433.0	1046948533.0	-2100.0
350.000	1046946373.0	1046948533.0	-2160.0
355.000	1046946013.0	1046948533.0	-2520.0
360.000	1046945533.0	1046948533.0	-3000.0
365.000	1046944993.0	1046948533.0	-3540.0
370.000	1046944333.0	1046948533.0	-4200.0
375.000	1046943673.0	1046948713.0	-5040.0
380.000	1046943133.0	1046948713.0	-5580.0
385.000	1046942473.0	1046948713.0	-6240.0
390.000	1046941993.0	1046948713.0	-6720.0
395.000	1046941333.0	1046948713.0	-7380.0
400.000	1046940913.0	1046948773.0	-7860.0
405.000	1046940313.0	1046948773.0	-8460.0
410.000	1046939653.0	1046948773.0	-9120.0
415.000	1046938993.0	1046948773.0	-9780.0
420.000	1046938273.0	1046948773.0	-10500.0
425.000	1046937253.0	1046948893.0	-11640.0
430.000	1046936353.0	1046948893.0	-12540.0
435.000	1046935333.0	1046948893.0	-13560.0
440.000	1046934133.0	1046948893.0	-14760.0
445.000	1046932933.0	1046948893.0	-15960.0
450.000	1046931973.0	1046948893.0	-16920.0
455.000	1046930833.0	1046948893.0	-18060.0
460.000	1046929933.0	1046948893.0	-18960.0
465.000	1046929033.0	1046948893.0	-19860.0
470.000	1046928253.0	1046948893.0	-20640.0
475.000	1046927653.0	1046948893.0	-21240.0
480.000	1046927233.0	1046948893.0	-21660.0
485.000	1046926873.0	1046948893.0	-22020.0
490.000	1046926873.0	1046948893.0	-22020.0
495.000	1046927173.0	1046948893.0	-21720.0
500.000	1046927533.0	1046948893.0	-21360.0
505.000	1046928073.0	1046948893.0	-20820.0
510.000	1046928673.0	1046948893.0	-20220.0
515.000	1046929573.0	1046948893.0	-19320.0
520.000	1046930593.0	1046948893.0	-18300.0
525.000	1046931613.0	1046948953.0	-17340.0
530.000	1046932813.0	1046949013.0	-16200.0
535.000	1046933773.0	1046948953.0	-15180.0
540.000	1046934853.0	1046949013.0	-14160.0
545.000	1046935933.0	1046948953.0	-13020.0
550.000	1046936893.0	1046948953.0	-12060.0
555.000	1046937793.0	1046948893.0	-11100.0
560.000	1046938693.0	1046949013.0	-10320.0
565.000	1046939533.0	1046948953.0	-9420.0
570.000	1046940193.0	1046949013.0	-8820.0
575.000	1046941033.0	1046949013.0	-7980.0
580.000	1046941813.0	1046948953.0	-7140.0
585.000	1046942773.0	1046949013.0	-6240.0
590.000	1046943673.0	1046949013.0	-5340.0
595.000	1046944693.0	1046949073.0	-4380.0
