# Config: example.ini
# Date: Thu Jul  2 17:14:17 2015
# Center: 1375397900.0
# Span: 150000.0
# Points: 2001
# P	f	f_ref	freq-t_ref
0.000	1375421750.0	1375421825.0	-75.0
5.000	1375421750.0	1375421750.0	0.0
10.000	1375421600.0	1375421600.0	0.0
15.000	1375421525.0	1375421525.0	0.0
20.000	1375421525.0	1375421525.0	0.0
25.000	1375421300.0	1375421525.0	-225.0
30.000	1375421300.0	1375421300.0	0.0
35.000	1375421300.0	1375421300.0	0.0
40.000	1375421300.0	1375421300.0	0.0
45.000	1375421150.0	1375421300.0	-150.0
50.000	1375420850.0	1375421300.0	-450.0
55.000	1375420775.0	1375421300.0	-525.0
60.000	1375420550.0	1375420850.0	-300.0
65.000	1375420325.0	1375421075.0	-750.0
70.000	1375419875.0	1375420850.0	-975.0
75.000	1375419575.0	1375420850.0	-1275.0
80.000	1375419200.0	1375420850.0	-1650.0
85.000	1375418900.0	1375420850.0	-1950.0
90.000	1375418525.0	1375420850.0	-2325.0
95.000	1375418150.0	1375420550.0	-2400.0
100.000	1375418075.0	1375420550.0	-2475.0
105.000	1375417700.0	1375420550.0	-2850.0
110.000	1375417550.0	1375420550.0	-3000.0
115.000	1375417550.0	1375420325.0	-2775.0
120.000	1375417700.0	1375420325.0	-2625.0
125.000	1375417700.0	1375420325.0	-2625.0
130.000	1375417925.0	1375420325.0	-2400.0
135.000	1375418075.0	1375420100.0	-2025.0
140.000	1375418375.0	1375419875.0	-1500.0
145.000	1375418525.0	1375419875.0	-1350.0
150.000	1375418900.0	1375419875.0	-975.0
155.000	1375419125.0	1375419875.0	-750.0
160.000	1375419425.0	1375419575.0	-150.0
165.000	1375419425.0	1375419575.0	-150.0
170.000	1375419425.0	1375419575.0	-150.0
175.000	1375419425.0	1375419575.0	-150.0
180.000	1375419125.0	1375419425.0	-300.0
185.000	1375418675.0	1375419200.0	-525.0
190.000	1375418375.0	1375419125.0	-750.0
195.000	1375417700.0	1375419125.0	-1425.0
200.000	1375417325.0	1375419125.0	-1800.0
205.000	1375416650.0	1375418900.0	-2250.0
210.000	1375415975.0	1375418900.0	-2925.0
215.000	1375415375.0	1375418675.0	-3300.0
220.000	1375414775.0	1375418525.0	-3750.0
225.000	1375414250.0	1375418525.0	-4275.0
230.000	1375413800.0	1375418525.0	-4725.0
235.000	1375413500.0	1375418525.0	-5025.0
240.000	1375413125.0	1375418150.0	-5025.0
245.000	1375413125.0	1375418075.0	-4950.0
250.000	1375413125.0	1375418075.0	-4950.0
255.000	1375413125.0	1375418075.0	-4950.0
260.000	1375413200.0	1375418075.0	-4875.0
265.000	1375413350.0	1375417925.0	-4575.0
270.000	1375413800.0	1375417700.0	-3900.0
275.000	1375413875.0	1375417700.0	-3825.0
280.000	1375414250.0	1375417550.0	-3300.0
285.000	1375414775.0	1375417550.0	-2775.0
290.000	1375415000.0	1375417400.0	-2400.0
295.000	1375415375.0	1375417400.0	-2025.0
300.000	1375415675.0	1375417325.0	-1650.0
305.000	1375415675.0	1375416950.0	-1275.0
310.000	1375415975.0	1375416950.0	-975.0
315.000	1375415975.0	1375416950.0	-975.0
320.000	1375415975.0	1375416800.0	-825.0
325.000	1375415750.0	1375416650.0	-900.0
330.000	1375415525.0	1375416650.0	-1125.0
335.000	1375415375.0	1375416350.0	-975.0
340.000	1375415150.0	1375416350.0	-1200.0
345.000	1375414775.0	1375416350.0	-1575.0
350.000	1375414250.0	1375416350.0	-2100.0
355.000	1375413800.0	1375416050.0	-2250.0
360.000	1375413275.0	1375416050.0	-2775.0
365.000	1375412450.0	1375415975.0	-3525.0
370.000	1375411550.0	1375415975.0	-4425.0
375.000	1375410125.0	1375415900.0	-5775.0
380.000	1375409075.0	1375415675.0	-6600.0
385.000	1375407725.0	1375415600.0	-7875.0
390.000	1375406225.0	1375415525.0	-9300.0
395.000	1375404500.0	1375415525.0	-11025.0
400.000	1375402925.0	1375415375.0	-12450.0
405.000	1375401350.0	1375415375.0	-14025.0
410.000	1375400300.0	1375415150.0	-14850.0
415.000	1375399625.0	1375415150.0	-15525.0
420.000	1375399100.0	1375415150.0	-16050.0
425.000	1375399100.0	1375415000.0	-15900.0
430.000	1375399550.0	1375415000.0	-15450.0
435.000	1375400300.0	1375414775.0	-14475.0
440.000	1375401725.0	1375414775.0	-13050.0
445.000	1375403225.0	1375414850.0	-11625.0
450.000	1375405025.0	1375414775.0	-9750.0
455.000	1375406825.0	1375414775.0	-7950.0
460.000	1375408775.0	1375414550.0	-5775.0
465.000	1375410350.0	1375414400.0	-4050.0
470.000	1375411775.0	1375414475.0	-2700.0
475.000	1375413050.0	1375414250.0	-1200.0
480.000	1375413800.0	1375414250.0	-450.0
485.000	1375413800.0	1375414250.0	-450.0
490.000	1375413575.0	1375414250.0	-675.0
495.000	1375412825.0	1375414250.0	-1425.0
500.000	1375411700.0	1375414025.0	-2325.0
505.000	1375410125.0	1375413800.0	-3675.0
510.000	1375408625.0	1375413800.0	-5175.0
515.000	1375406825.0	1375413800.0	-6975.0
520.000	1375405025.0	1375413800.0	-8775.0
525.000	1375403450.0	1375413725.0	-10275.0
530.000	1375402175.0	1375413800.0	-11625.0
535.000	1375400975.0	1375413575.0	-12600.0
540.000	1375400375.0	1375413500.0	-13125.0
545.000	1375400075.0	1375413500.0	-13425.0
550.000	1375400375.0	1375413275.0	-12900.0
555.000	1375400975.0	1375413275.0	-12300.0
560.000	1375401725.0	1375413275.0	-11550.0
565.000	1375402625.0	1375413275.0	-10650.0
570.000	1375403750.0	1375413275.0	-9525.0
575.000	1375404800.0	1375413275.0	-8475.0
580.000	1375406000.0	1375413125.0	-7125.0
585.000	1375407200.0	1375413125.0	-5925.0
590.000	1375408025.0	1375413125.0	-5100.0
595.000	1375408625.0	1375413125.0	-4500.0
600.000	1375409375.0	1375412825.0	-3450.0
605.000	1375409825.0	1375412825.0	-3000.0
610.000	1375410125.0	1375412750.0	-2625.0
615.000	1375410350.0	1375412750.0	-2400.0
620.000	1375410350.0	1375412750.0	-2400.0
625.000	1375410350.0	1375412750.0	-2400.0
630.000	1375410350.0	1375412750.0	-2400.0
635.000	1375410125.0	1375412750.0	-2625.0
640.000	1375410125.0	1375412450.0	-2325.0
645.000	1375409450.0	1375412750.0	-3300.0
650.000	1375408925.0	1375412450.0	-3525.0
655.000	1375408100.0	1375412450.0	-4350.0
660.000	1375407200.0	1375412450.0	-5250.0
665.000	1375406000.0	1375412450.0	-6450.0
670.000	1375404500.0	1375412300.0	-7800.0
675.000	1375402850.0	1375412225.0	-9375.0
680.000	1375400750.0	1375412300.0	-11550.0
685.000	1375398425.0	1375412300.0	-13875.0
690.000	1375396025.0	1375412150.0	-16125.0
695.000	1375393325.0	1375412150.0	-18825.0
700.000	1375390850.0	1375411850.0	-21000.0
705.000	1375388450.0	1375411925.0	-23475.0
710.000	1375386575.0	1375411775.0	-25200.0
715.000	1375385225.0	1375411700.0	-26475.0
