# Config: example.ini
# Date: Mon Jul  6 16:51:14 2015
# Center: 1544571000.0
# Span: 150000.0
# Points: 2001
# P	f	f_ref	freq-t_ref
0.000	1544587950.0	1544588100.0	-150.0
5.000	1544588325.0	1544588100.0	225.0
10.000	1544587950.0	1544587950.0	0.0
15.000	1544587875.0	1544587950.0	-75.0
20.000	1544587875.0	1544588100.0	-225.0
25.000	1544587950.0	1544587950.0	0.0
30.000	1544587950.0	1544588175.0	-225.0
35.000	1544587725.0	1544587950.0	-225.0
40.000	1544587200.0	1544588100.0	-900.0
45.000	1544587350.0	1544587875.0	-525.0
50.000	1544587350.0	1544587950.0	-600.0
55.000	1544586975.0	1544587575.0	-600.0
60.000	1544586900.0	1544587500.0	-600.0
65.000	1544586750.0	1544587575.0	-825.0
70.000	1544586225.0	1544587875.0	-1650.0
75.000	1544585700.0	1544587575.0	-1875.0
80.000	1544585175.0	1544587500.0	-2325.0
85.000	1544584875.0	1544587350.0	-2475.0
90.000	1544584050.0	1544586975.0	-2925.0
95.000	1544583375.0	1544587500.0	-4125.0
100.000	1544582025.0	1544587125.0	-5100.0
105.000	1544582025.0	1544586900.0	-4875.0
110.000	1544580750.0	1544587125.0	-6375.0
115.000	1544579775.0	1544587350.0	-7575.0
120.000	1544578575.0	1544586750.0	-8175.0
125.000	1544577825.0	1544586750.0	-8925.0
130.000	1544576700.0	1544586750.0	-10050.0
135.000	1544575500.0	1544586750.0	-11250.0
140.000	1544574825.0	1544586975.0	-12150.0
145.000	1544574075.0	1544586525.0	-12450.0
150.000	1544573775.0	1544586450.0	-12675.0
155.000	1544573475.0	1544586750.0	-13275.0
160.000	1544573775.0	1544586225.0	-12450.0
165.000	1544573850.0	1544586450.0	-12600.0
170.000	1544574075.0	1544586225.0	-12150.0
175.000	1544574600.0	1544586225.0	-11625.0
180.000	1544575650.0	1544586225.0	-10575.0
185.000	1544576025.0	1544586225.0	-10200.0
190.000	1544577000.0	1544586225.0	-9225.0
195.000	1544577450.0	1544586225.0	-8775.0
200.000	1544577825.0	1544586225.0	-8400.0
205.000	1544578350.0	1544586000.0	-7650.0
210.000	1544579025.0	1544585775.0	-6750.0
215.000	1544579475.0	1544585700.0	-6225.0
220.000	1544579475.0	1544585775.0	-6300.0
225.000	1544579100.0	1544586000.0	-6900.0
230.000	1544579025.0	1544585250.0	-6225.0
235.000	1544578500.0	1544585100.0	-6600.0
240.000	1544577825.0	1544585175.0	-7350.0
245.000	1544577000.0	1544585175.0	-8175.0
250.000	1544575650.0	1544585100.0	-9450.0
255.000	1544573475.0	1544585175.0	-11700.0
260.000	1544571150.0	1544585175.0	-14025.0
265.000	1544568225.0	1544584800.0	-16575.0
270.000	1544565375.0	1544584800.0	-19425.0
275.000	1544562150.0	1544584725.0	-22575.0
280.000	1544560125.0	1544584725.0	-24600.0
285.000	1544558625.0	1544584725.0	-26100.0
290.000	1544558025.0	1544584500.0	-26475.0
295.000	1544559450.0	1544584575.0	-25125.0
300.000	1544561400.0	1544584275.0	-22875.0
305.000	1544563875.0	1544584500.0	-20625.0
310.000	1544567025.0	1544584050.0	-17025.0
315.000	1544570175.0	1544583975.0	-13800.0
320.000	1544573100.0	1544584275.0	-11175.0
325.000	1544575650.0	1544584275.0	-8625.0
330.000	1544577825.0	1544583750.0	-5925.0
335.000	1544579175.0	1544583900.0	-4725.0
340.000	1544581275.0	1544584050.0	-2775.0
345.000	1544582175.0	1544583900.0	-1725.0
350.000	1544582400.0	1544583525.0	-1125.0
355.000	1544583075.0	1544583525.0	-450.0
360.000	1544583150.0	1544583075.0	75.0
365.000	1544583075.0	1544583525.0	-450.0
370.000	1544583075.0	1544583525.0	-450.0
375.000	1544583075.0	1544583075.0	0.0
380.000	1544583075.0	1544583075.0	0.0
385.000	1544583075.0	1544583075.0	0.0
390.000	1544582625.0	1544583075.0	-450.0
395.000	1544582400.0	1544583075.0	-675.0
400.000	1544582400.0	1544583075.0	-675.0
405.000	1544582025.0	1544583075.0	-1050.0
410.000	1544582250.0	1544582625.0	-375.0
415.000	1544582100.0	1544582625.0	-525.0
420.000	1544582100.0	1544582775.0	-675.0
425.000	1544582025.0	1544582175.0	-150.0
430.000	1544581725.0	1544582625.0	-900.0
435.000	1544581725.0	1544582250.0	-525.0
440.000	1544581575.0	1544582175.0	-600.0
445.000	1544581500.0	1544582025.0	-525.0
450.000	1544581500.0	1544582250.0	-750.0
455.000	1544581275.0	1544582025.0	-750.0
460.000	1544581275.0	1544582250.0	-975.0
465.000	1544580900.0	1544581800.0	-900.0
470.000	1544580975.0	1544582025.0	-1050.0
475.000	1544581200.0	1544581725.0	-525.0
480.000	1544580975.0	1544581575.0	-600.0
485.000	1544580750.0	1544581275.0	-525.0
490.000	1544580750.0	1544581275.0	-525.0
495.000	1544580750.0	1544581575.0	-825.0
500.000	1544580675.0	1544580900.0	-225.0
505.000	1544580675.0	1544581275.0	-600.0
510.000	1544580150.0	1544581275.0	-1125.0
515.000	1544580450.0	1544580750.0	-300.0
520.000	1544580075.0	1544580900.0	-825.0
525.000	1544579775.0	1544580900.0	-1125.0
530.000	1544580300.0	1544580975.0	-675.0
535.000	1544579775.0	1544580450.0	-675.0
540.000	1544579250.0	1544580750.0	-1500.0
545.000	1544579175.0	1544580450.0	-1275.0
550.000	1544578350.0	1544580150.0	-1800.0
555.000	1544577825.0	1544580300.0	-2475.0
560.000	1544577825.0	1544580150.0	-2325.0
565.000	1544576700.0	1544580150.0	-3450.0
570.000	1544575800.0	1544579700.0	-3900.0
575.000	1544575125.0	1544579700.0	-4575.0
580.000	1544574600.0	1544579925.0	-5325.0
585.000	1544573775.0	1544580075.0	-6300.0
590.000	1544573550.0	1544579775.0	-6225.0
595.000	1544573100.0	1544579475.0	-6375.0
600.000	1544573100.0	1544579925.0	-6825.0
605.000	1544573775.0	1544579775.0	-6000.0
610.000	1544574600.0	1544579475.0	-4875.0
615.000	1544574600.0	1544579700.0	-5100.0
620.000	1544575050.0	1544579625.0	-4575.0
625.000	1544575125.0	1544579100.0	-3975.0
630.000	1544575650.0	1544579175.0	-3525.0
635.000	1544576025.0	1544579025.0	-3000.0
640.000	1544576325.0	1544579100.0	-2775.0
645.000	1544576475.0	1544578800.0	-2325.0
650.000	1544576325.0	1544579025.0	-2700.0
655.000	1544576325.0	1544578800.0	-2475.0
660.000	1544576775.0	1544579100.0	-2325.0
665.000	1544576700.0	1544578575.0	-1875.0
670.000	1544576700.0	1544578350.0	-1650.0
675.000	1544576775.0	1544578800.0	-2025.0
680.000	1544576775.0	1544578800.0	-2025.0
685.000	1544576775.0	1544578350.0	-1575.0
690.000	1544577450.0	1544578125.0	-675.0
695.000	1544577825.0	1544578050.0	-225.0
700.000	1544577825.0	1544578350.0	-525.0
705.000	1544577600.0	1544577825.0	-225.0
710.000	1544577450.0	1544577825.0	-375.0
715.000	1544577825.0	1544578125.0	-300.0
720.000	1544577825.0	1544577825.0	0.0
725.000	1544578050.0	1544577825.0	225.0
730.000	1544577825.0	1544578050.0	-225.0
735.000	1544577825.0	1544577825.0	0.0
740.000	1544577825.0	1544577825.0	0.0
745.000	1544577450.0	1544577825.0	-375.0
750.000	1544576700.0	1544577825.0	-1125.0
755.000	1544577300.0	1544577825.0	-525.0
760.000	1544576625.0	1544577450.0	-825.0
765.000	1544577000.0	1544577825.0	-825.0
770.000	1544576775.0	1544577825.0	-1050.0
775.000	1544576775.0	1544577825.0	-1050.0
780.000	1544576775.0	1544577825.0	-1050.0
785.000	1544577000.0	1544577825.0	-825.0
790.000	1544576700.0	1544577300.0	-600.0
795.000	1544577000.0	1544577675.0	-675.0
800.000	1544576700.0	1544577825.0	-1125.0
805.000	1544576700.0	1544577450.0	-750.0
810.000	1544576700.0	1544577225.0	-525.0
815.000	1544576325.0	1544577450.0	-1125.0
820.000	1544576550.0	1544577225.0	-675.0
825.000	1544576325.0	1544577450.0	-1125.0
830.000	1544576325.0	1544577450.0	-1125.0
835.000	1544576325.0	1544577000.0	-675.0
840.000	1544576325.0	1544577300.0	-975.0
845.000	1544575800.0	1544577225.0	-1425.0
850.000	1544575650.0	1544577000.0	-1350.0
855.000	1544575500.0	1544577000.0	-1500.0
860.000	1544575500.0	1544577000.0	-1500.0
865.000	1544574825.0	1544577225.0	-2400.0
870.000	1544574525.0	1544576775.0	-2250.0
875.000	1544574075.0	1544577225.0	-3150.0
880.000	1544573550.0	1544577075.0	-3525.0
885.000	1544573775.0	1544577225.0	-3450.0
890.000	1544573550.0	1544577000.0	-3450.0
895.000	1544574075.0	1544576775.0	-2700.0
900.000	1544574075.0	1544577225.0	-3150.0
905.000	1544574600.0	1544577300.0	-2700.0
910.000	1544575050.0	1544577300.0	-2250.0
