# Config: example.ini
# Date: Tue Jul  7 11:18:29 2015
# Center: 702493550.0
# Span: 150000.0
# Points: 2001
# P	f	f_ref	freq-t_ref
0.000	702509225.0	702509225.0	0.0
5.000	702509225.0	702509225.0	0.0
10.000	702509225.0	702509225.0	0.0
15.000	702509225.0	702509225.0	0.0
20.000	702509225.0	702509225.0	0.0
25.000	702509000.0	702509225.0	-225.0
30.000	702508925.0	702509225.0	-300.0
35.000	702508850.0	702509225.0	-375.0
40.000	702508850.0	702508925.0	-75.0
45.000	702508925.0	702508850.0	75.0
50.000	702508850.0	702508925.0	-75.0
55.000	702508550.0	702508925.0	-375.0
60.000	702508325.0	702508925.0	-600.0
65.000	702508325.0	702508850.0	-525.0
70.000	702508325.0	702508850.0	-525.0
75.000	702507650.0	702508550.0	-900.0
80.000	702507125.0	702508925.0	-1800.0
85.000	702506525.0	702508850.0	-2325.0
90.000	702506075.0	702508850.0	-2775.0
95.000	702504800.0	702508700.0	-3900.0
100.000	702503975.0	702508550.0	-4575.0
105.000	702502700.0	702508550.0	-5850.0
110.000	702501500.0	702508550.0	-7050.0
115.000	702499925.0	702508550.0	-8625.0
120.000	702498500.0	702508325.0	-9825.0
125.000	702497150.0	702508325.0	-11175.0
130.000	702495350.0	702508325.0	-12975.0
135.000	702494075.0	702508325.0	-14250.0
140.000	702492350.0	702508325.0	-15975.0
145.000	702491225.0	702508325.0	-17100.0
150.000	702489875.0	702508325.0	-18450.0
155.000	702488825.0	702508325.0	-19500.0
160.000	702487550.0	702508325.0	-20775.0
165.000	702486650.0	702507950.0	-21300.0
170.000	702486200.0	702507875.0	-21675.0
175.000	702485675.0	702507875.0	-22200.0
180.000	702485450.0	702507950.0	-22500.0
185.000	702485375.0	702507875.0	-22500.0
190.000	702485375.0	702507800.0	-22425.0
195.000	702485750.0	702507575.0	-21825.0
200.000	702486500.0	702507650.0	-21150.0
205.000	702486950.0	702507650.0	-20700.0
210.000	702487925.0	702507800.0	-19875.0
215.000	702488825.0	702507500.0	-18675.0
220.000	702490100.0	702507650.0	-17550.0
225.000	702491375.0	702507575.0	-16200.0
230.000	702492650.0	702507500.0	-14850.0
235.000	702494075.0	702507500.0	-13425.0
240.000	702495725.0	702507275.0	-11550.0
245.000	702497150.0	702507350.0	-10200.0
250.000	702498650.0	702507275.0	-8625.0
255.000	702499700.0	702507200.0	-7500.0
260.000	702501275.0	702507125.0	-5850.0
265.000	702502175.0	702507125.0	-4950.0
270.000	702503450.0	702507200.0	-3750.0
275.000	702504200.0	702507050.0	-2850.0
280.000	702504875.0	702507275.0	-2400.0
285.000	702505625.0	702507125.0	-1500.0
290.000	702506075.0	702507125.0	-1050.0
295.000	702506225.0	702507050.0	-825.0
300.000	702506375.0	702507050.0	-675.0
305.000	702506600.0	702507050.0	-450.0
310.000	702506600.0	702506600.0	0.0
315.000	702506600.0	702506825.0	-225.0
320.000	702506675.0	702506600.0	75.0
325.000	702506825.0	702506600.0	225.0
330.000	702506600.0	702506600.0	0.0
335.000	702506375.0	702506825.0	-450.0
340.000	702506375.0	702506825.0	-450.0
345.000	702506375.0	702506375.0	0.0
350.000	702506375.0	702506375.0	0.0
355.000	702506375.0	702506375.0	0.0
360.000	702506450.0	702506375.0	75.0
365.000	702506075.0	702506375.0	-300.0
370.000	702506375.0	702506375.0	0.0
375.000	702506075.0	702506375.0	-300.0
380.000	702506075.0	702506225.0	-150.0
385.000	702505625.0	702506225.0	-600.0
