# Config: example.ini
# Date: Mon Jun 29 19:04:40 2015
# Center: 712051500.0
# Span: 150000.0
# Points: 2001
# P	f	f_ref	freq-t_ref
0.000	712064700.0	712064700.0	0.0
5.000	712064700.0	712064700.0	0.0
10.000	712064700.0	712064700.0	0.0
15.000	712064475.0	712064625.0	-150.0
20.000	712064700.0	712064700.0	0.0
25.000	712064625.0	712064700.0	-75.0
30.000	712064475.0	712064625.0	-150.0
35.000	712064625.0	712064700.0	-75.0
40.000	712064175.0	712064700.0	-525.0
45.000	712064100.0	712064700.0	-600.0
50.000	712064175.0	712064625.0	-450.0
55.000	712064100.0	712064475.0	-375.0
60.000	712063650.0	712064625.0	-975.0
65.000	712063200.0	712064475.0	-1275.0
70.000	712062900.0	712064625.0	-1725.0
75.000	712062150.0	712064475.0	-2325.0
80.000	712060950.0	712064475.0	-3525.0
85.000	712059750.0	712064100.0	-4350.0
90.000	712058100.0	712064475.0	-6375.0
95.000	712056675.0	712064475.0	-7800.0
100.000	712054575.0	712064475.0	-9900.0
105.000	712052400.0	712064475.0	-12075.0
110.000	712049700.0	712064100.0	-14400.0
115.000	712047225.0	712064100.0	-16875.0
120.000	712044525.0	712064100.0	-19575.0
125.000	712041375.0	712064100.0	-22725.0
130.000	712038600.0	712064475.0	-25875.0
135.000	712035675.0	712064100.0	-28425.0
140.000	712032975.0	712064100.0	-31125.0
145.000	712030275.0	712064475.0	-34200.0
150.000	712028175.0	712064100.0	-35925.0
155.000	712025700.0	712064100.0	-38400.0
160.000	712023975.0	712064100.0	-40125.0
165.000	712022100.0	712063950.0	-41850.0
170.000	712021125.0	712063950.0	-42825.0
175.000	712020150.0	712064175.0	-44025.0
180.000	712019700.0	712064100.0	-44400.0
185.000	712019625.0	712064100.0	-44475.0
190.000	712020150.0	712064100.0	-43950.0
195.000	712020675.0	712063950.0	-43275.0
200.000	712021650.0	712063950.0	-42300.0
205.000	712023150.0	712064100.0	-40950.0
210.000	712024950.0	712064100.0	-39150.0
215.000	712027050.0	712064100.0	-37050.0
220.000	712029450.0	712063950.0	-34500.0
225.000	712031925.0	712064100.0	-32175.0
230.000	712034550.0	712063950.0	-29400.0
235.000	712037700.0	712064100.0	-26400.0
240.000	712040850.0	712064100.0	-23250.0
245.000	712043625.0	712063950.0	-20325.0
250.000	712046325.0	712063950.0	-17625.0
255.000	712049250.0	712063950.0	-14700.0
260.000	712051875.0	712064100.0	-12225.0
265.000	712054050.0	712064100.0	-10050.0
270.000	712056300.0	712064100.0	-7800.0
275.000	712058100.0	712064100.0	-6000.0
280.000	712059750.0	712063950.0	-4200.0
285.000	712060725.0	712063950.0	-3225.0
290.000	712061700.0	712064100.0	-2400.0
295.000	712062450.0	712063950.0	-1500.0
300.000	712062900.0	712064100.0	-1200.0
305.000	712062975.0	712063950.0	-975.0
310.000	712063650.0	712063950.0	-300.0
315.000	712063725.0	712064100.0	-375.0
320.000	712064100.0	712063950.0	150.0
325.000	712063800.0	712063950.0	-150.0
330.000	712063950.0	712063950.0	0.0
335.000	712063950.0	712063950.0	0.0
340.000	712064100.0	712063950.0	150.0
345.000	712063950.0	712063950.0	0.0
350.000	712063950.0	712064100.0	-150.0
355.000	712063950.0	712064100.0	-150.0
360.000	712063650.0	712063950.0	-300.0
365.000	712063650.0	712064100.0	-450.0
370.000	712063200.0	712063950.0	-750.0
375.000	712063200.0	712063950.0	-750.0
380.000	712062900.0	712064100.0	-1200.0
385.000	712062750.0	712063950.0	-1200.0
390.000	712062450.0	712063950.0	-1500.0
395.000	712062150.0	712063950.0	-1800.0
400.000	712062150.0	712063950.0	-1800.0
405.000	712062150.0	712063950.0	-1800.0
410.000	712062000.0	712063950.0	-1950.0
415.000	712062150.0	712063950.0	-1800.0
420.000	712062150.0	712063950.0	-1800.0
425.000	712062150.0	712063950.0	-1800.0
430.000	712062450.0	712063800.0	-1350.0
435.000	712062450.0	712063800.0	-1350.0
440.000	712062450.0	712064100.0	-1650.0
445.000	712062675.0	712063950.0	-1275.0
450.000	712062900.0	712063800.0	-900.0
455.000	712062900.0	712063950.0	-1050.0
460.000	712062900.0	712063950.0	-1050.0
465.000	712062975.0	712063950.0	-975.0
470.000	712062975.0	712063950.0	-975.0
475.000	712062900.0	712063950.0	-1050.0
480.000	712063125.0	712063950.0	-825.0
485.000	712062975.0	712063950.0	-975.0
490.000	712062900.0	712063950.0	-1050.0
495.000	712062900.0	712063950.0	-1050.0
500.000	712062900.0	712063950.0	-1050.0
505.000	712062900.0	712063950.0	-1050.0
510.000	712062675.0	712063950.0	-1275.0
515.000	712062450.0	712063800.0	-1350.0
520.000	712062450.0	712063950.0	-1500.0
525.000	712062150.0	712063950.0	-1800.0
530.000	712062150.0	712063950.0	-1800.0
535.000	712062150.0	712063950.0	-1800.0
540.000	712061550.0	712063950.0	-2400.0
545.000	712061550.0	712063950.0	-2400.0
550.000	712061550.0	712063950.0	-2400.0
555.000	712061550.0	712063800.0	-2250.0
560.000	712061400.0	712063950.0	-2550.0
565.000	712061550.0	712063950.0	-2400.0
570.000	712061550.0	712064100.0	-2550.0
575.000	712062150.0	712064100.0	-1950.0
580.000	712062450.0	712063950.0	-1500.0
585.000	712062525.0	712064100.0	-1575.0
590.000	712062900.0	712063950.0	-1050.0
595.000	712063125.0	712063950.0	-825.0
600.000	712063200.0	712063950.0	-750.0
605.000	712063650.0	712064100.0	-450.0
610.000	712063650.0	712063800.0	-150.0
615.000	712063650.0	712064100.0	-450.0
620.000	712063950.0	712063950.0	0.0
625.000	712063650.0	712064100.0	-450.0
630.000	712063950.0	712063950.0	0.0
635.000	712063800.0	712063950.0	-150.0
640.000	712063950.0	712063950.0	0.0
645.000	712063950.0	712063950.0	0.0
650.000	712063950.0	712063950.0	0.0
655.000	712063950.0	712064100.0	-150.0
660.000	712063650.0	712064100.0	-450.0
665.000	712063650.0	712063950.0	-300.0
670.000	712063125.0	712064100.0	-975.0
675.000	712062900.0	712063950.0	-1050.0
680.000	712062450.0	712064100.0	-1650.0
685.000	712062150.0	712063950.0	-1800.0
690.000	712062000.0	712064100.0	-2100.0
695.000	712061550.0	712064100.0	-2550.0
700.000	712061550.0	712064100.0	-2550.0
705.000	712061100.0	712064100.0	-3000.0
710.000	712061550.0	712064100.0	-2550.0
715.000	712061400.0	712064100.0	-2700.0
720.000	712061550.0	712063950.0	-2400.0
725.000	712061550.0	712064100.0	-2550.0
730.000	712061550.0	712064100.0	-2550.0
735.000	712061550.0	712063950.0	-2400.0
740.000	712062000.0	712064100.0	-2100.0
745.000	712062150.0	712063950.0	-1800.0
750.000	712062150.0	712064100.0	-1950.0
755.000	712062450.0	712063950.0	-1500.0
760.000	712062675.0	712064100.0	-1425.0
765.000	712062900.0	712064100.0	-1200.0
770.000	712062975.0	712063950.0	-975.0
775.000	712062900.0	712064100.0	-1200.0
780.000	712062900.0	712064100.0	-1200.0
785.000	712062900.0	712063950.0	-1050.0
790.000	712062975.0	712063950.0	-975.0
795.000	712062975.0	712064100.0	-1125.0
800.000	712062900.0	712064100.0	-1200.0
805.000	712063125.0	712064100.0	-975.0
810.000	712062900.0	712064100.0	-1200.0
815.000	712062975.0	712064100.0	-1125.0
820.000	712062900.0	712064175.0	-1275.0
825.000	712062900.0	712064100.0	-1200.0
830.000	712062900.0	712064100.0	-1200.0
835.000	712062525.0	712064100.0	-1575.0
840.000	712062525.0	712064100.0	-1575.0
845.000	712062450.0	712064100.0	-1650.0
850.000	712062450.0	712064100.0	-1650.0
855.000	712062450.0	712064100.0	-1650.0
860.000	712062450.0	712064475.0	-2025.0
865.000	712062450.0	712064100.0	-1650.0
870.000	712062450.0	712064100.0	-1650.0
875.000	712062900.0	712064100.0	-1200.0
880.000	712062900.0	712064475.0	-1575.0
885.000	712063200.0	712064175.0	-975.0
890.000	712063650.0	712064475.0	-825.0
895.000	712063800.0	712064175.0	-375.0
900.000	712063950.0	712064100.0	-150.0
905.000	712063950.0	712064475.0	-525.0
910.000	712064100.0	712064475.0	-375.0
915.000	712064175.0	712064475.0	-300.0
920.000	712064475.0	712064400.0	75.0
925.000	712064475.0	712064475.0	0.0
930.000	712064625.0	712064625.0	0.0
935.000	712064475.0	712064475.0	0.0
940.000	712064100.0	712064700.0	-600.0
945.000	712064100.0	712064475.0	-375.0
950.000	712064100.0	712064625.0	-525.0
955.000	712063950.0	712064475.0	-525.0
960.000	712063650.0	712064475.0	-825.0
965.000	712062975.0	712064625.0	-1650.0
970.000	712062525.0	712064625.0	-2100.0
975.000	712061550.0	712064475.0	-2925.0
980.000	712061100.0	712064700.0	-3600.0
985.000	712060050.0	712064700.0	-4650.0
990.000	712059225.0	712064625.0	-5400.0
995.000	712058475.0	712064700.0	-6225.0
1000.000	712058100.0	712064700.0	-6600.0
1005.000	712057950.0	712064475.0	-6525.0
1010.000	712058100.0	712064625.0	-6525.0
1015.000	712058100.0	712064700.0	-6600.0
1020.000	712058475.0	712064700.0	-6225.0
1025.000	712059000.0	712064625.0	-5625.0
1030.000	712059750.0	712064625.0	-4875.0
1035.000	712060275.0	712064700.0	-4425.0
1040.000	712060725.0	712064625.0	-3900.0
1045.000	712061400.0	712064925.0	-3525.0
1050.000	712062150.0	712064700.0	-2550.0
1055.000	712062450.0	712064700.0	-2250.0
1060.000	712062975.0	712064700.0	-1725.0
1065.000	712063200.0	712064700.0	-1500.0
1070.000	712063650.0	712064850.0	-1200.0
1075.000	712063950.0	712064850.0	-900.0
1080.000	712063950.0	712064700.0	-750.0
1085.000	712063950.0	712064925.0	-975.0
1090.000	712063800.0	712064700.0	-900.0
1095.000	712063650.0	712064850.0	-1200.0
1100.000	712063650.0	712065000.0	-1350.0
1105.000	712063125.0	712064925.0	-1800.0
1110.000	712062750.0	712064925.0	-2175.0
1115.000	712062450.0	712064850.0	-2400.0
1120.000	712062000.0	712065225.0	-3225.0
1125.000	712061325.0	712064925.0	-3600.0
1130.000	712060725.0	712065225.0	-4500.0
1135.000	712059975.0	712065225.0	-5250.0
1140.000	712059225.0	712064925.0	-5700.0
1145.000	712059000.0	712064925.0	-5925.0
1150.000	712058475.0	712065225.0	-6750.0
1155.000	712058100.0	712065225.0	-7125.0
1160.000	712058100.0	712065300.0	-7200.0
1165.000	712058100.0	712065225.0	-7125.0
1170.000	712058475.0	712065225.0	-6750.0
1175.000	712059225.0	712065225.0	-6000.0
1180.000	712059975.0	712065375.0	-5400.0
1185.000	712060725.0	712065225.0	-4500.0
1190.000	712062000.0	712065375.0	-3375.0
1195.000	712062825.0	712065225.0	-2400.0
1200.000	712063650.0	712065225.0	-1575.0
1205.000	712064175.0	712065450.0	-1275.0
1210.000	712064475.0	712065225.0	-750.0
1215.000	712064925.0	712065375.0	-450.0
1220.000	712065225.0	712065375.0	-150.0
1225.000	712065300.0	712065225.0	75.0
1230.000	712065375.0	712065225.0	150.0
1235.000	712065450.0	712065675.0	-225.0
1240.000	712065375.0	712065675.0	-300.0
1245.000	712065675.0	712065675.0	0.0
1250.000	712065375.0	712065675.0	-300.0
1255.000	712065375.0	712065675.0	-300.0
1260.000	712065225.0	712065450.0	-225.0
1265.000	712065375.0	712065675.0	-300.0
1270.000	712065225.0	712065675.0	-450.0
1275.000	712065375.0	712065675.0	-300.0
1280.000	712065225.0	712065675.0	-450.0
1285.000	712065225.0	712065675.0	-450.0
1290.000	712065225.0	712065675.0	-450.0
1295.000	712065225.0	712065675.0	-450.0
1300.000	712064700.0	712065675.0	-975.0
1305.000	712064850.0	712065675.0	-825.0
1310.000	712064925.0	712065675.0	-750.0
1315.000	712065075.0	712065825.0	-750.0
1320.000	712064850.0	712065675.0	-825.0
1325.000	712064850.0	712065675.0	-825.0
1330.000	712065225.0	712065825.0	-600.0
1335.000	712065225.0	712065675.0	-450.0
1340.000	712065225.0	712065675.0	-450.0
1345.000	712065225.0	712065825.0	-600.0
1350.000	712065225.0	712066050.0	-825.0
1355.000	712065225.0	712066050.0	-825.0
1360.000	712065150.0	712066275.0	-1125.0
1365.000	712065225.0	712066050.0	-825.0
1370.000	712065225.0	712066050.0	-825.0
1375.000	712065225.0	712066050.0	-825.0
1380.000	712065225.0	712066275.0	-1050.0
1385.000	712065225.0	712066275.0	-1050.0
1390.000	712065225.0	712066275.0	-1050.0
1395.000	712065300.0	712066275.0	-975.0
1400.000	712065225.0	712066275.0	-1050.0
1405.000	712065300.0	712066275.0	-975.0
1410.000	712064925.0	712066275.0	-1350.0
1415.000	712065225.0	712066275.0	-1050.0
1420.000	712064925.0	712066350.0	-1425.0
1425.000	712064925.0	712066275.0	-1350.0
1430.000	712064925.0	712066275.0	-1350.0
1435.000	712064850.0	712066275.0	-1425.0
