# Config: example.ini
# Date: Tue Jun 30 16:58:33 2015
# Center: 730245250.0
# Span: 150000.0
# Points: 2001
# P	f	f_ref	freq-t_ref
0.000	730256650.0	730256650.0	0.0
5.000	730256725.0	730256425.0	300.0
10.000	730256425.0	730256725.0	-300.0
15.000	730256800.0	730256725.0	75.0
20.000	730256725.0	730256650.0	75.0
25.000	730256425.0	730256650.0	-225.0
30.000	730256575.0	730256650.0	-75.0
35.000	730256425.0	730256425.0	0.0
40.000	730256050.0	730256650.0	-600.0
45.000	730256050.0	730256125.0	-75.0
50.000	730255675.0	730256425.0	-750.0
55.000	730255525.0	730256050.0	-525.0
60.000	730255225.0	730256425.0	-1200.0
65.000	730254700.0	730256125.0	-1425.0
70.000	730253725.0	730256425.0	-2700.0
75.000	730253050.0	730256350.0	-3300.0
80.000	730251700.0	730256050.0	-4350.0
85.000	730250575.0	730256050.0	-5475.0
90.000	730249675.0	730256050.0	-6375.0
95.000	730249075.0	730256125.0	-7050.0
100.000	730248325.0	730256125.0	-7800.0
105.000	730248325.0	730256125.0	-7800.0
110.000	730248325.0	730256125.0	-7800.0
115.000	730248550.0	730256125.0	-7575.0
120.000	730249225.0	730256125.0	-6900.0
125.000	730249675.0	730256125.0	-6450.0
130.000	730249825.0	730256050.0	-6225.0
135.000	730251025.0	730256050.0	-5025.0
140.000	730251700.0	730255675.0	-3975.0
145.000	730252450.0	730256050.0	-3600.0
150.000	730253050.0	730255900.0	-2850.0
155.000	730253725.0	730255675.0	-1950.0
160.000	730253950.0	730255600.0	-1650.0
165.000	730254700.0	730256050.0	-1350.0
170.000	730254700.0	730255525.0	-825.0
175.000	730255225.0	730255675.0	-450.0
180.000	730255375.0	730255525.0	-150.0
185.000	730255600.0	730255525.0	75.0
190.000	730255375.0	730255600.0	-225.0
195.000	730255075.0	730255675.0	-600.0
200.000	730255225.0	730255525.0	-300.0
205.000	730254700.0	730255600.0	-900.0
210.000	730254250.0	730255375.0	-1125.0
215.000	730253875.0	730255525.0	-1650.0
220.000	730253050.0	730255375.0	-2325.0
225.000	730252525.0	730255525.0	-3000.0
230.000	730251700.0	730255525.0	-3825.0
235.000	730251025.0	730255375.0	-4350.0
240.000	730250575.0	730255075.0	-4500.0
245.000	730249825.0	730255000.0	-5175.0
250.000	730249300.0	730255075.0	-5775.0
255.000	730249225.0	730255225.0	-6000.0
260.000	730248775.0	730255075.0	-6300.0
265.000	730249075.0	730255225.0	-6150.0
270.000	730249075.0	730254850.0	-5775.0
275.000	730249675.0	730255000.0	-5325.0
280.000	730250275.0	730255225.0	-4950.0
285.000	730250575.0	730254700.0	-4125.0
290.000	730251700.0	730254850.0	-3150.0
295.000	730252450.0	730254850.0	-2400.0
300.000	730253050.0	730254700.0	-1650.0
305.000	730253125.0	730254925.0	-1800.0
310.000	730253725.0	730254700.0	-975.0
315.000	730253950.0	730254625.0	-675.0
320.000	730254250.0	730254700.0	-450.0
325.000	730254175.0	730254175.0	0.0
330.000	730254250.0	730254250.0	0.0
335.000	730254175.0	730254175.0	0.0
340.000	730254250.0	730254100.0	150.0
345.000	730254100.0	730254175.0	-75.0
350.000	730254325.0	730254100.0	225.0
355.000	730254100.0	730253875.0	225.0
360.000	730254175.0	730253875.0	300.0
365.000	730254100.0	730254175.0	-75.0
370.000	730253725.0	730254175.0	-450.0
375.000	730253875.0	730253725.0	150.0
380.000	730253725.0	730253725.0	0.0
385.000	730253725.0	730253725.0	0.0
390.000	730253725.0	730253725.0	0.0
395.000	730253725.0	730253725.0	0.0
400.000	730253725.0	730253725.0	0.0
405.000	730253725.0	730253725.0	0.0
410.000	730253500.0	730253725.0	-225.0
415.000	730253500.0	730253350.0	150.0
420.000	730253725.0	730253725.0	0.0
425.000	730253125.0	730253125.0	0.0
430.000	730253125.0	730253125.0	0.0
435.000	730253350.0	730253125.0	225.0
440.000	730253350.0	730253200.0	150.0
445.000	730253125.0	730253050.0	75.0
450.000	730253125.0	730253125.0	0.0
455.000	730253125.0	730253125.0	0.0
460.000	730253125.0	730253125.0	0.0
465.000	730253050.0	730253125.0	-75.0
470.000	730253050.0	730253125.0	-75.0
475.000	730252525.0	730253125.0	-600.0
480.000	730252825.0	730253050.0	-225.0
485.000	730252450.0	730253125.0	-675.0
490.000	730252450.0	730253125.0	-675.0
495.000	730252450.0	730253050.0	-600.0
500.000	730252000.0	730252525.0	-525.0
505.000	730252450.0	730252525.0	-75.0
510.000	730252000.0	730252450.0	-450.0
515.000	730252000.0	730252525.0	-525.0
520.000	730252000.0	730252525.0	-525.0
525.000	730252000.0	730252525.0	-525.0
530.000	730252000.0	730252375.0	-375.0
535.000	730251700.0	730252000.0	-300.0
540.000	730251700.0	730252075.0	-375.0
545.000	730251700.0	730252075.0	-375.0
550.000	730251700.0	730252150.0	-450.0
555.000	730251700.0	730252000.0	-300.0
560.000	730251700.0	730252000.0	-300.0
565.000	730251700.0	730252000.0	-300.0
570.000	730251700.0	730252000.0	-300.0
575.000	730251700.0	730252000.0	-300.0
580.000	730251700.0	730252000.0	-300.0
585.000	730251700.0	730252000.0	-300.0
590.000	730251700.0	730251700.0	0.0
595.000	730251700.0	730251700.0	0.0
600.000	730251700.0	730251700.0	0.0
605.000	730251400.0	730251700.0	-300.0
610.000	730251400.0	730251700.0	-300.0
615.000	730251700.0	730251700.0	0.0
620.000	730251400.0	730251700.0	-300.0
625.000	730251400.0	730251700.0	-300.0
630.000	730251025.0	730251700.0	-675.0
635.000	730251100.0	730251700.0	-600.0
640.000	730251025.0	730251400.0	-375.0
645.000	730250425.0	730251400.0	-975.0
650.000	730250575.0	730251400.0	-825.0
655.000	730249675.0	730251400.0	-1725.0
660.000	730249225.0	730251025.0	-1800.0
665.000	730248250.0	730251025.0	-2775.0
670.000	730246525.0	730250575.0	-4050.0
675.000	730245250.0	730250575.0	-5325.0
680.000	730243300.0	730251025.0	-7725.0
685.000	730241650.0	730250575.0	-8925.0
690.000	730240150.0	730250575.0	-10425.0
695.000	730239100.0	730250800.0	-11700.0
700.000	730238050.0	730250575.0	-12525.0
705.000	730237900.0	730250500.0	-12600.0
710.000	730238125.0	730250575.0	-12450.0
715.000	730238575.0	730250500.0	-11925.0
720.000	730239100.0	730250500.0	-11400.0
725.000	730240375.0	730250500.0	-10125.0
730.000	730241650.0	730250500.0	-8850.0
735.000	730243300.0	730250575.0	-7275.0
740.000	730243900.0	730250575.0	-6675.0
745.000	730245250.0	730250575.0	-5325.0
750.000	730246525.0	730250500.0	-3975.0
755.000	730247200.0	730250275.0	-3075.0
760.000	730248325.0	730250500.0	-2175.0
765.000	730248775.0	730250575.0	-1800.0
770.000	730249675.0	730250500.0	-825.0
775.000	730249675.0	730249825.0	-150.0
780.000	730249675.0	730249675.0	0.0
785.000	730249675.0	730249675.0	0.0
790.000	730249300.0	730249675.0	-375.0
795.000	730249075.0	730249675.0	-600.0
800.000	730248325.0	730249675.0	-1350.0
805.000	730247200.0	730249675.0	-2475.0
810.000	730246525.0	730249975.0	-3450.0
815.000	730245250.0	730249675.0	-4425.0
820.000	730243300.0	730249675.0	-6375.0
825.000	730242100.0	730249675.0	-7575.0
830.000	730240825.0	730249750.0	-8925.0
835.000	730239625.0	730249675.0	-10050.0
840.000	730238050.0	730249675.0	-11625.0
845.000	730236100.0	730249675.0	-13575.0
850.000	730235275.0	730249675.0	-14400.0
855.000	730234675.0	730249675.0	-15000.0
860.000	730234075.0	730249675.0	-15600.0
865.000	730234375.0	730249675.0	-15300.0
870.000	730234975.0	730249450.0	-14475.0
875.000	730236100.0	730249225.0	-13125.0
880.000	730238050.0	730249675.0	-11625.0
885.000	730239625.0	730249225.0	-9600.0
890.000	730241650.0	730249675.0	-8025.0
895.000	730243300.0	730249225.0	-5925.0
900.000	730245025.0	730249675.0	-4650.0
905.000	730246150.0	730249300.0	-3150.0
910.000	730247125.0	730249225.0	-2100.0
915.000	730247800.0	730249225.0	-1425.0
920.000	730248175.0	730249225.0	-1050.0
925.000	730248325.0	730249225.0	-900.0
930.000	730248325.0	730249225.0	-900.0
935.000	730248325.0	730249225.0	-900.0
940.000	730247950.0	730249300.0	-1350.0
945.000	730247725.0	730249225.0	-1500.0
950.000	730247050.0	730249225.0	-2175.0
955.000	730246525.0	730249225.0	-2700.0
960.000	730244800.0	730249075.0	-4275.0
965.000	730243075.0	730249225.0	-6150.0
970.000	730240675.0	730249150.0	-8475.0
975.000	730237525.0	730249225.0	-11700.0
980.000	730234075.0	730249300.0	-15225.0
985.000	730230475.0	730249075.0	-18600.0
990.000	730227100.0	730249225.0	-22125.0
995.000	730224400.0	730249225.0	-24825.0
1000.000	730222450.0	730249225.0	-26775.0
1005.000	730222150.0	730249075.0	-26925.0
1010.000	730222150.0	730249225.0	-27075.0
1015.000	730223200.0	730249225.0	-26025.0
1020.000	730224400.0	730249225.0	-24825.0
1025.000	730226800.0	730249000.0	-22200.0
1030.000	730229575.0	730249075.0	-19500.0
1035.000	730232500.0	730249075.0	-16575.0
1040.000	730235275.0	730249075.0	-13800.0
1045.000	730237525.0	730249075.0	-11550.0
1050.000	730240150.0	730249225.0	-9075.0
1055.000	730242100.0	730249225.0	-7125.0
1060.000	730244125.0	730249075.0	-4950.0
1065.000	730245925.0	730249150.0	-3225.0
1070.000	730247125.0	730249225.0	-2100.0
1075.000	730248325.0	730249225.0	-900.0
1080.000	730248550.0	730249000.0	-450.0
1085.000	730248775.0	730249300.0	-525.0
1090.000	730248550.0	730249075.0	-525.0
1095.000	730248325.0	730249225.0	-900.0
1100.000	730246750.0	730249075.0	-2325.0
1105.000	730245400.0	730249225.0	-3825.0
1110.000	730243300.0	730249075.0	-5775.0
1115.000	730241875.0	730249225.0	-7350.0
1120.000	730239400.0	730249150.0	-9750.0
1125.000	730236475.0	730249225.0	-12750.0
1130.000	730234375.0	730249225.0	-14850.0
1135.000	730231675.0	730249000.0	-17325.0
1140.000	730228975.0	730249075.0	-20100.0
1145.000	730226500.0	730249075.0	-22575.0
1150.000	730224400.0	730249300.0	-24900.0
1155.000	730222750.0	730249225.0	-26475.0
1160.000	730221775.0	730249075.0	-27300.0
1165.000	730221700.0	730249300.0	-27600.0
1170.000	730223125.0	730249075.0	-25950.0
1175.000	730225375.0	730249225.0	-23850.0
1180.000	730228225.0	730249150.0	-20925.0
1185.000	730231300.0	730249225.0	-17925.0
1190.000	730234675.0	730249300.0	-14625.0
1195.000	730238575.0	730249225.0	-10650.0
1200.000	730240825.0	730249225.0	-8400.0
1205.000	730243300.0	730249225.0	-5925.0
1210.000	730245250.0	730249300.0	-4050.0
1215.000	730246525.0	730249300.0	-2775.0
1220.000	730247200.0	730249225.0	-2025.0
1225.000	730248175.0	730249300.0	-1125.0
1230.000	730248325.0	730249075.0	-750.0
1235.000	730248475.0	730249225.0	-750.0
1240.000	730248325.0	730249225.0	-900.0
1245.000	730248325.0	730249450.0	-1125.0
1250.000	730248175.0	730249300.0	-1125.0
1255.000	730247425.0	730249225.0	-1800.0
1260.000	730246750.0	730249075.0	-2325.0
1265.000	730245925.0	730249075.0	-3150.0
1270.000	730244125.0	730249450.0	-5325.0
1275.000	730243300.0	730249075.0	-5775.0
1280.000	730241125.0	730249225.0	-8100.0
1285.000	730239100.0	730249225.0	-10125.0
1290.000	730237300.0	730249225.0	-11925.0
1295.000	730235650.0	730249225.0	-13575.0
1300.000	730234375.0	730249675.0	-15300.0
1305.000	730234075.0	730249450.0	-15375.0
1310.000	730234075.0	730249075.0	-15000.0
1315.000	730234375.0	730249675.0	-15300.0
1320.000	730235425.0	730249675.0	-14250.0
1325.000	730236475.0	730249225.0	-12750.0
1330.000	730238050.0	730249675.0	-11625.0
1335.000	730239100.0	730249450.0	-10350.0
1340.000	730240750.0	730249300.0	-8550.0
1345.000	730242100.0	730249225.0	-7125.0
1350.000	730243900.0	730249450.0	-5550.0
1355.000	730245250.0	730249675.0	-4425.0
1360.000	730246225.0	730249675.0	-3450.0
1365.000	730247200.0	730249675.0	-2475.0
1370.000	730248175.0	730249675.0	-1500.0
1375.000	730248700.0	730249675.0	-975.0
1380.000	730249075.0	730249675.0	-600.0
1385.000	730249225.0	730249675.0	-450.0
1390.000	730249300.0	730249675.0	-375.0
1395.000	730249225.0	730249675.0	-450.0
1400.000	730249225.0	730249675.0	-450.0
1405.000	730248475.0	730249675.0	-1200.0
1410.000	730247425.0	730249675.0	-2250.0
1415.000	730246525.0	730249675.0	-3150.0
1420.000	730245850.0	730249675.0	-3825.0
1425.000	730244350.0	730249675.0	-5325.0
1430.000	730243300.0	730249675.0	-6375.0
1435.000	730241650.0	730249675.0	-8025.0
1440.000	730240525.0	730249675.0	-9150.0
1445.000	730239100.0	730249675.0	-10575.0
1450.000	730238050.0	730249675.0	-11625.0
1455.000	730237450.0	730249675.0	-12225.0
1460.000	730236475.0	730249675.0	-13200.0
1465.000	730236475.0	730249675.0	-13200.0
1470.000	730237300.0	730249675.0	-12375.0
1475.000	730238050.0	730249675.0	-11625.0
1480.000	730239625.0	730249675.0	-10050.0
1485.000	730241650.0	730249675.0	-8025.0
1490.000	730243300.0	730249675.0	-6375.0
1495.000	730244800.0	730249750.0	-4950.0
1500.000	730246000.0	730249975.0	-3975.0
1505.000	730247125.0	730249975.0	-2850.0
1510.000	730248325.0	730249675.0	-1350.0
1515.000	730248775.0	730249825.0	-1050.0
1520.000	730249225.0	730249900.0	-675.0
1525.000	730249450.0	730249975.0	-525.0
1530.000	730249750.0	730249675.0	75.0
1535.000	730249675.0	730250050.0	-375.0
1540.000	730249750.0	730250125.0	-375.0
1545.000	730249675.0	730250200.0	-525.0
1550.000	730249675.0	730250500.0	-825.0
1555.000	730249675.0	730249825.0	-150.0
1560.000	730249675.0	730250500.0	-825.0
1565.000	730250275.0	730250500.0	-225.0
1570.000	730249975.0	730250500.0	-525.0
1575.000	730249675.0	730250500.0	-825.0
1580.000	730249675.0	730250275.0	-600.0
1585.000	730249675.0	730250500.0	-825.0
1590.000	730249675.0	730250500.0	-825.0
1595.000	730249675.0	730250575.0	-900.0
1600.000	730249675.0	730250425.0	-750.0
1605.000	730249675.0	730250500.0	-825.0
1610.000	730249675.0	730250575.0	-900.0
1615.000	730249675.0	730250500.0	-825.0
1620.000	730249675.0	730250575.0	-900.0
1625.000	730249675.0	730250425.0	-750.0
1630.000	730250125.0	730250575.0	-450.0
1635.000	730250275.0	730250575.0	-300.0
1640.000	730249675.0	730250575.0	-900.0
1645.000	730250575.0	730250500.0	75.0
1650.000	730250500.0	730250575.0	-75.0
1655.000	730250500.0	730250575.0	-75.0
1660.000	730250500.0	730250575.0	-75.0
1665.000	730250575.0	730250575.0	0.0
1670.000	730250575.0	730250575.0	0.0
1675.000	730250575.0	730250575.0	0.0
1680.000	730250575.0	730250575.0	0.0
1685.000	730250575.0	730251025.0	-450.0
1690.000	730250575.0	730251025.0	-450.0
1695.000	730250575.0	730250575.0	0.0
1700.000	730250575.0	730250575.0	0.0
1705.000	730251025.0	730250575.0	450.0
1710.000	730251025.0	730251025.0	0.0
1715.000	730250950.0	730251025.0	-75.0
1720.000	730250575.0	730251025.0	-450.0
1725.000	730250575.0	730251025.0	-450.0
1730.000	730251025.0	730251250.0	-225.0
1735.000	730251025.0	730251025.0	0.0
1740.000	730251400.0	730251100.0	300.0
1745.000	730250875.0	730251400.0	-525.0
1750.000	730251400.0	730251400.0	0.0
1755.000	730250875.0	730251025.0	-150.0
1760.000	730251400.0	730251025.0	375.0
1765.000	730251025.0	730251400.0	-375.0
1770.000	730251400.0	730251400.0	0.0
1775.000	730251400.0	730251400.0	0.0
1780.000	730251700.0	730251700.0	0.0
1785.000	730251400.0	730251700.0	-300.0
1790.000	730251625.0	730251700.0	-75.0
1795.000	730251700.0	730251700.0	0.0
1800.000	730251700.0	730251700.0	0.0
1805.000	730251700.0	730251700.0	0.0
1810.000	730251700.0	730251700.0	0.0
1815.000	730251700.0	730251700.0	0.0
1820.000	730251475.0	730251625.0	-150.0
1825.000	730251700.0	730251700.0	0.0
1830.000	730251700.0	730252000.0	-300.0
1835.000	730251700.0	730251700.0	0.0
1840.000	730251700.0	730251625.0	75.0
1845.000	730251400.0	730251700.0	-300.0
1850.000	730251400.0	730252000.0	-600.0
1855.000	730251475.0	730252000.0	-525.0
1860.000	730251025.0	730252000.0	-975.0
1865.000	730250500.0	730251700.0	-1200.0
1870.000	730250125.0	730251700.0	-1575.0
1875.000	730249225.0	730251700.0	-2475.0
1880.000	730248700.0	730252000.0	-3300.0
1885.000	730248175.0	730251700.0	-3525.0
1890.000	730247200.0	730252000.0	-4800.0
1895.000	730246675.0	730251700.0	-5025.0
1900.000	730246000.0	730252000.0	-6000.0
1905.000	730245850.0	730252000.0	-6150.0
1910.000	730246000.0	730252000.0	-6000.0
1915.000	730246000.0	730252000.0	-6000.0
1920.000	730246750.0	730252000.0	-5250.0
1925.000	730247200.0	730252000.0	-4800.0
1930.000	730247575.0	730252075.0	-4500.0
1935.000	730248325.0	730252075.0	-3750.0
1940.000	730249075.0	730252450.0	-3375.0
1945.000	730249675.0	730252450.0	-2775.0
1950.000	730250425.0	730252075.0	-1650.0
1955.000	730251025.0	730252450.0	-1425.0
1960.000	730251700.0	730252450.0	-750.0
1965.000	730252000.0	730252525.0	-525.0
1970.000	730252000.0	730252525.0	-525.0
1975.000	730252000.0	730252450.0	-450.0
1980.000	730252525.0	730252450.0	75.0
1985.000	730252525.0	730252525.0	0.0
