# Config: example.ini
# Date: Wed Jul  1 18:00:24 2015
# Center: 1457890000.0
# Span: 200000.0
# Points: 2001
# P	f	f_ref	freq-t_ref
0.000	1457911600.0	1457911600.0	0.0
5.000	1457910500.0	1457911000.0	-500.0
10.000	1457910000.0	1457911200.0	-1200.0
15.000	1457909100.0	1457911200.0	-2100.0
20.000	1457908000.0	1457911300.0	-3300.0
25.000	1457906600.0	1457911200.0	-4600.0
30.000	1457904600.0	1457910700.0	-6100.0
35.000	1457902000.0	1457910700.0	-8700.0
40.000	1457898900.0	1457910700.0	-11800.0
45.000	1457895600.0	1457910500.0	-14900.0
50.000	1457890800.0	1457910500.0	-19700.0
55.000	1457885500.0	1457910400.0	-24900.0
60.000	1457879500.0	1457910300.0	-30800.0
65.000	1457873200.0	1457910000.0	-36800.0
70.000	1457866800.0	1457909900.0	-43100.0
75.000	1457860400.0	1457909900.0	-49500.0
80.000	1457854600.0	1457909600.0	-55000.0
85.000	1457849400.0	1457909300.0	-59900.0
90.000	1457845500.0	1457909300.0	-63800.0
95.000	1457842200.0	1457909300.0	-67100.0
100.000	1457840500.0	1457909300.0	-68800.0
105.000	1457839800.0	1457909300.0	-69500.0
110.000	1457840100.0	1457909300.0	-69200.0
115.000	1457841200.0	1457909300.0	-68100.0
120.000	1457843600.0	1457908800.0	-65200.0
125.000	1457847300.0	1457908800.0	-61500.0
130.000	1457851700.0	1457908800.0	-57100.0
135.000	1457857200.0	1457908800.0	-51600.0
140.000	1457863700.0	1457908800.0	-45100.0
145.000	1457870800.0	1457908800.0	-38000.0
150.000	1457878200.0	1457908300.0	-30100.0
155.000	1457885500.0	1457908300.0	-22800.0
160.000	1457892400.0	1457908200.0	-15800.0
165.000	1457898100.0	1457908200.0	-10100.0
170.000	1457902900.0	1457908000.0	-5100.0
175.000	1457906300.0	1457908000.0	-1700.0
180.000	1457908000.0	1457908000.0	0.0
185.000	1457907800.0	1457908000.0	-200.0
190.000	1457905600.0	1457907800.0	-2200.0
195.000	1457902000.0	1457908000.0	-6000.0
200.000	1457897500.0	1457907800.0	-10300.0
205.000	1457890700.0	1457907800.0	-17100.0
210.000	1457883900.0	1457907500.0	-23600.0
215.000	1457876400.0	1457907000.0	-30600.0
220.000	1457869200.0	1457907000.0	-37800.0
225.000	1457861900.0	1457907000.0	-45100.0
230.000	1457855300.0	1457907000.0	-51700.0
235.000	1457850000.0	1457906900.0	-56900.0
240.000	1457845500.0	1457906900.0	-61400.0
245.000	1457841800.0	1457906600.0	-64800.0
250.000	1457839700.0	1457906600.0	-66900.0
255.000	1457839000.0	1457906600.0	-67600.0
260.000	1457839000.0	1457906600.0	-67600.0
265.000	1457840400.0	1457906500.0	-66100.0
270.000	1457842700.0	1457906300.0	-63600.0
275.000	1457845900.0	1457905900.0	-60000.0
280.000	1457850300.0	1457905900.0	-55600.0
285.000	1457855600.0	1457905900.0	-50300.0
290.000	1457861600.0	1457905900.0	-44300.0
295.000	1457867500.0	1457905600.0	-38100.0
300.000	1457874000.0	1457905600.0	-31600.0
305.000	1457880200.0	1457905600.0	-25400.0
310.000	1457885600.0	1457905600.0	-20000.0
315.000	1457890200.0	1457905600.0	-15400.0
320.000	1457894300.0	1457905100.0	-10800.0
325.000	1457897500.0	1457905000.0	-7500.0
330.000	1457900100.0	1457904700.0	-4600.0
335.000	1457902000.0	1457904700.0	-2700.0
340.000	1457903600.0	1457904700.0	-1100.0
345.000	1457904700.0	1457904700.0	0.0
350.000	1457904700.0	1457904700.0	0.0
355.000	1457905500.0	1457904700.0	800.0
360.000	1457905600.0	1457904600.0	1000.0
365.000	1457904700.0	1457904600.0	100.0
370.000	1457904700.0	1457904100.0	600.0
375.000	1457904100.0	1457904100.0	0.0
380.000	1457904000.0	1457904000.0	0.0
385.000	1457903000.0	1457904000.0	-1000.0
390.000	1457902600.0	1457904000.0	-1400.0
395.000	1457902000.0	1457903700.0	-1700.0
400.000	1457901700.0	1457903700.0	-2000.0
405.000	1457901100.0	1457903600.0	-2500.0
410.000	1457900800.0	1457903300.0	-2500.0
415.000	1457900800.0	1457903300.0	-2500.0
420.000	1457900800.0	1457903300.0	-2500.0
425.000	1457900500.0	1457903300.0	-2800.0
430.000	1457900300.0	1457902900.0	-2600.0
435.000	1457900500.0	1457903000.0	-2500.0
440.000	1457900800.0	1457902900.0	-2100.0
445.000	1457900800.0	1457902600.0	-1800.0
450.000	1457901100.0	1457902600.0	-1500.0
455.000	1457901200.0	1457902600.0	-1400.0
460.000	1457901700.0	1457902600.0	-900.0
465.000	1457901700.0	1457902300.0	-600.0
470.000	1457902000.0	1457902300.0	-300.0
475.000	1457902600.0	1457902000.0	600.0
480.000	1457902600.0	1457902000.0	600.0
485.000	1457902900.0	1457902000.0	900.0
490.000	1457902600.0	1457901700.0	900.0
495.000	1457902600.0	1457901700.0	900.0
500.000	1457902600.0	1457901700.0	900.0
505.000	1457902300.0	1457901700.0	600.0
510.000	1457902000.0	1457901700.0	300.0
515.000	1457901700.0	1457901200.0	500.0
520.000	1457901100.0	1457901200.0	-100.0
525.000	1457900800.0	1457901100.0	-300.0
530.000	1457900300.0	1457901200.0	-900.0
535.000	1457899800.0	1457900800.0	-1000.0
540.000	1457899500.0	1457900800.0	-1300.0
545.000	1457899400.0	1457900800.0	-1400.0
550.000	1457898900.0	1457900800.0	-1900.0
555.000	1457898800.0	1457900800.0	-2000.0
560.000	1457898700.0	1457900800.0	-2100.0
565.000	1457898800.0	1457900800.0	-2000.0
570.000	1457898800.0	1457900800.0	-2000.0
575.000	1457898900.0	1457900300.0	-1400.0
580.000	1457898900.0	1457900300.0	-1400.0
585.000	1457899400.0	1457900200.0	-800.0
590.000	1457899500.0	1457900100.0	-600.0
595.000	1457899700.0	1457900100.0	-400.0
600.000	1457900000.0	1457900100.0	-100.0
605.000	1457900100.0	1457900000.0	100.0
610.000	1457900100.0	1457900100.0	0.0
615.000	1457900300.0	1457900100.0	200.0
620.000	1457900500.0	1457899700.0	800.0
625.000	1457900300.0	1457899800.0	500.0
630.000	1457900800.0	1457899700.0	1100.0
635.000	1457900500.0	1457899700.0	800.0
640.000	1457900500.0	1457899700.0	800.0
645.000	1457900500.0	1457899400.0	1100.0
650.000	1457900300.0	1457899400.0	900.0
655.000	1457900500.0	1457899200.0	1300.0
660.000	1457900300.0	1457899200.0	1100.0
665.000	1457900500.0	1457899200.0	1300.0
670.000	1457900100.0	1457899400.0	700.0
675.000	1457900300.0	1457898900.0	1400.0
680.000	1457900100.0	1457898900.0	1200.0
685.000	1457900100.0	1457898900.0	1200.0
690.000	1457900100.0	1457898800.0	1300.0
695.000	1457900100.0	1457898900.0	1200.0
700.000	1457900100.0	1457898900.0	1200.0
705.000	1457900100.0	1457898800.0	1300.0
710.000	1457900100.0	1457898900.0	1200.0
715.000	1457900100.0	1457898800.0	1300.0
720.000	1457900100.0	1457898800.0	1300.0
725.000	1457900100.0	1457898800.0	1300.0
730.000	1457899800.0	1457898800.0	1000.0
735.000	1457900000.0	1457898800.0	1200.0
740.000	1457900100.0	1457898800.0	1300.0
745.000	1457899800.0	1457898800.0	1000.0
750.000	1457900100.0	1457898800.0	1300.0
755.000	1457899800.0	1457898800.0	1000.0
760.000	1457900100.0	1457898800.0	1300.0
765.000	1457899800.0	1457898800.0	1000.0
770.000	1457900100.0	1457898800.0	1300.0
775.000	1457900100.0	1457898700.0	1400.0
780.000	1457899800.0	1457898800.0	1000.0
785.000	1457900100.0	1457898800.0	1300.0
790.000	1457900100.0	1457898900.0	1200.0
795.000	1457899700.0	1457898800.0	900.0
800.000	1457899700.0	1457898800.0	900.0
805.000	1457899800.0	1457898800.0	1000.0
810.000	1457899800.0	1457898800.0	1000.0
815.000	1457900100.0	1457898800.0	1300.0
820.000	1457900100.0	1457898700.0	1400.0
825.000	1457899800.0	1457898800.0	1000.0
830.000	1457899800.0	1457898800.0	1000.0
835.000	1457899700.0	1457898800.0	900.0
840.000	1457899800.0	1457898800.0	1000.0
845.000	1457899800.0	1457898800.0	1000.0
850.000	1457899800.0	1457898800.0	1000.0
855.000	1457899600.0	1457898800.0	800.0
860.000	1457899600.0	1457898800.0	800.0
865.000	1457900100.0	1457898900.0	1200.0
870.000	1457899800.0	1457898800.0	1000.0
875.000	1457900000.0	1457898900.0	1100.0
880.000	1457900000.0	1457898800.0	1200.0
885.000	1457900100.0	1457898800.0	1300.0
890.000	1457899800.0	1457898800.0	1000.0
895.000	1457900100.0	1457898900.0	1200.0
900.000	1457899800.0	1457898900.0	900.0
905.000	1457899800.0	1457898800.0	1000.0
910.000	1457900100.0	1457898900.0	1200.0
915.000	1457900100.0	1457898800.0	1300.0
920.000	1457900100.0	1457898900.0	1200.0
925.000	1457900100.0	1457898800.0	1300.0
