# Config: example.ini
# Date: Thu Jun 25 19:11:27 2015
# Center: 1464560200.0
# Span: 120000.0
# Points: 2001
# P	f	f_ref	freq-t_ref
0.000	1464565300.0	1464565300.0	0.0
5.000	1464564520.0	1464565300.0	-780.0
10.000	1464565300.0	1464565120.0	180.0
15.000	1464564580.0	1464565120.0	-540.0
20.000	1464564520.0	1464564520.0	0.0
25.000	1464563980.0	1464564520.0	-540.0
30.000	1464563380.0	1464564520.0	-1140.0
35.000	1464563380.0	1464564520.0	-1140.0
40.000	1464562120.0	1464564520.0	-2400.0
45.000	1464561340.0	1464564520.0	-3180.0
50.000	1464560860.0	1464564580.0	-3720.0
55.000	1464559660.0	1464564520.0	-4860.0
60.000	1464558340.0	1464564520.0	-6180.0
65.000	1464556960.0	1464564520.0	-7560.0
70.000	1464555820.0	1464564520.0	-8700.0
75.000	1464554380.0	1464564520.0	-10140.0
80.000	1464553120.0	1464564520.0	-11400.0
85.000	1464551860.0	1464564520.0	-12660.0
90.000	1464551500.0	1464564520.0	-13020.0
95.000	1464551020.0	1464563980.0	-12960.0
100.000	1464550720.0	1464563980.0	-13260.0
105.000	1464550360.0	1464563980.0	-13620.0
110.000	1464550900.0	1464563980.0	-13080.0
115.000	1464551020.0	1464563620.0	-12600.0
120.000	1464551440.0	1464563980.0	-12540.0
125.000	1464551860.0	1464563380.0	-11520.0
130.000	1464552880.0	1464563380.0	-10500.0
135.000	1464553780.0	1464563380.0	-9600.0
140.000	1464554620.0	1464563380.0	-8760.0
145.000	1464555820.0	1464563380.0	-7560.0
150.000	1464556900.0	1464563380.0	-6480.0
155.000	1464557860.0	1464563380.0	-5520.0
160.000	1464559660.0	1464563380.0	-3720.0
165.000	1464560860.0	1464563380.0	-2520.0
170.000	1464561340.0	1464563380.0	-2040.0
175.000	1464562120.0	1464562840.0	-720.0
180.000	1464562840.0	1464562840.0	0.0
185.000	1464563380.0	1464562840.0	540.0
190.000	1464562840.0	1464562840.0	0.0
195.000	1464562120.0	1464562780.0	-660.0
200.000	1464561820.0	1464562540.0	-720.0
205.000	1464560860.0	1464562840.0	-1980.0
210.000	1464559660.0	1464562600.0	-2940.0
215.000	1464558280.0	1464562540.0	-4260.0
220.000	1464556540.0	1464562540.0	-6000.0
225.000	1464555520.0	1464562540.0	-7020.0
230.000	1464553960.0	1464562540.0	-8580.0
235.000	1464552880.0	1464562540.0	-9660.0
240.000	1464551440.0	1464562120.0	-10680.0
245.000	1464550600.0	1464562120.0	-11520.0
250.000	1464549700.0	1464562120.0	-12420.0
255.000	1464549160.0	1464562120.0	-12960.0
260.000	1464548740.0	1464562120.0	-13380.0
265.000	1464548740.0	1464562120.0	-13380.0
270.000	1464548440.0	1464562120.0	-13680.0
275.000	1464548740.0	1464562120.0	-13380.0
280.000	1464549700.0	1464562120.0	-12420.0
285.000	1464549940.0	1464562120.0	-12180.0
290.000	1464551440.0	1464562120.0	-10680.0
295.000	1464552160.0	1464562120.0	-9960.0
300.000	1464553420.0	1464561820.0	-8400.0
305.000	1464554620.0	1464562120.0	-7500.0
310.000	1464555820.0	1464562120.0	-6300.0
315.000	1464556600.0	1464562120.0	-5520.0
320.000	1464557680.0	1464561340.0	-3660.0
325.000	1464558340.0	1464561820.0	-3480.0
330.000	1464558640.0	1464561340.0	-2700.0
335.000	1464559360.0	1464561340.0	-1980.0
340.000	1464559360.0	1464561340.0	-1980.0
345.000	1464559360.0	1464561580.0	-2220.0
350.000	1464559660.0	1464561460.0	-1800.0
355.000	1464559660.0	1464561340.0	-1680.0
360.000	1464559360.0	1464561340.0	-1980.0
365.000	1464559660.0	1464561580.0	-1920.0
370.000	1464559660.0	1464561340.0	-1680.0
375.000	1464559360.0	1464561460.0	-2100.0
380.000	1464559360.0	1464561460.0	-2100.0
385.000	1464559360.0	1464561340.0	-1980.0
390.000	1464558760.0	1464561460.0	-2700.0
395.000	1464558400.0	1464561340.0	-2940.0
400.000	1464558400.0	1464561340.0	-2940.0
405.000	1464558280.0	1464561340.0	-3060.0
410.000	1464558340.0	1464561340.0	-3000.0
415.000	1464558400.0	1464560860.0	-2460.0
420.000	1464558640.0	1464560860.0	-2220.0
425.000	1464558760.0	1464561340.0	-2580.0
430.000	1464559360.0	1464561340.0	-1980.0
435.000	1464559360.0	1464561340.0	-1980.0
440.000	1464559660.0	1464561340.0	-1680.0
445.000	1464559660.0	1464560860.0	-1200.0
450.000	1464560260.0	1464560860.0	-600.0
455.000	1464560860.0	1464560860.0	0.0
460.000	1464560860.0	1464561340.0	-480.0
465.000	1464560860.0	1464560860.0	0.0
470.000	1464561340.0	1464561340.0	0.0
475.000	1464560860.0	1464560860.0	0.0
480.000	1464560860.0	1464560860.0	0.0
485.000	1464560860.0	1464560860.0	0.0
490.000	1464560860.0	1464560860.0	0.0
495.000	1464560860.0	1464560860.0	0.0
500.000	1464559960.0	1464560860.0	-900.0
505.000	1464559660.0	1464560860.0	-1200.0
510.000	1464559300.0	1464560860.0	-1560.0
515.000	1464558940.0	1464560860.0	-1920.0
520.000	1464558280.0	1464560860.0	-2580.0
525.000	1464557860.0	1464560860.0	-3000.0
530.000	1464557680.0	1464560860.0	-3180.0
535.000	1464556960.0	1464560860.0	-3900.0
540.000	1464556600.0	1464560860.0	-4260.0
545.000	1464556600.0	1464560860.0	-4260.0
550.000	1464556600.0	1464560860.0	-4260.0
555.000	1464556180.0	1464560860.0	-4680.0
560.000	1464555820.0	1464560860.0	-5040.0
565.000	1464555820.0	1464560860.0	-5040.0
570.000	1464555820.0	1464560860.0	-5040.0
575.000	1464555820.0	1464560860.0	-5040.0
580.000	1464555640.0	1464560860.0	-5220.0
585.000	1464555820.0	1464560860.0	-5040.0
590.000	1464555820.0	1464560860.0	-5040.0
595.000	1464555820.0	1464560860.0	-5040.0
600.000	1464556180.0	1464560860.0	-4680.0
605.000	1464556600.0	1464560860.0	-4260.0
610.000	1464556600.0	1464560860.0	-4260.0
615.000	1464556600.0	1464560860.0	-4260.0
620.000	1464556600.0	1464560860.0	-4260.0
625.000	1464556960.0	1464560860.0	-3900.0
630.000	1464556600.0	1464560860.0	-4260.0
635.000	1464556600.0	1464560860.0	-4260.0
640.000	1464555820.0	1464560860.0	-5040.0
645.000	1464555220.0	1464560860.0	-5640.0
650.000	1464554620.0	1464560860.0	-6240.0
655.000	1464553420.0	1464560860.0	-7440.0
660.000	1464552160.0	1464560860.0	-8700.0
665.000	1464550360.0	1464560860.0	-10500.0
670.000	1464548740.0	1464560860.0	-12120.0
675.000	1464547360.0	1464560860.0	-13500.0
680.000	1464545320.0	1464560860.0	-15540.0
685.000	1464543280.0	1464560860.0	-17580.0
690.000	1464541720.0	1464560860.0	-19140.0
695.000	1464540280.0	1464560860.0	-20580.0
700.000	1464539560.0	1464560860.0	-21300.0
705.000	1464538600.0	1464560860.0	-22260.0
710.000	1464538000.0	1464560860.0	-22860.0
715.000	1464538000.0	1464560860.0	-22860.0
720.000	1464538600.0	1464560860.0	-22260.0
725.000	1464539200.0	1464560860.0	-21660.0
730.000	1464540280.0	1464560860.0	-20580.0
735.000	1464541720.0	1464560860.0	-19140.0
740.000	1464543520.0	1464560860.0	-17340.0
745.000	1464546280.0	1464560860.0	-14580.0
750.000	1464548740.0	1464560860.0	-12120.0
755.000	1464551440.0	1464560860.0	-9420.0
760.000	1464553600.0	1464560860.0	-7260.0
765.000	1464555820.0	1464560860.0	-5040.0
770.000	1464557680.0	1464560860.0	-3180.0
775.000	1464559060.0	1464560860.0	-1800.0
780.000	1464559660.0	1464560860.0	-1200.0
785.000	1464559960.0	1464560860.0	-900.0
790.000	1464559660.0	1464560860.0	-1200.0
795.000	1464558880.0	1464560860.0	-1980.0
800.000	1464557680.0	1464561340.0	-3660.0
805.000	1464555820.0	1464560860.0	-5040.0
810.000	1464553780.0	1464560860.0	-7080.0
815.000	1464551440.0	1464560860.0	-9420.0
820.000	1464549400.0	1464561340.0	-11940.0
825.000	1464546580.0	1464560860.0	-14280.0
830.000	1464544840.0	1464560860.0	-16020.0
835.000	1464543280.0	1464560860.0	-17580.0
840.000	1464541720.0	1464561340.0	-19620.0
845.000	1464540700.0	1464561340.0	-20640.0
850.000	1464539740.0	1464561340.0	-21600.0
855.000	1464539740.0	1464561340.0	-21600.0
860.000	1464539740.0	1464561340.0	-21600.0
865.000	1464540280.0	1464560860.0	-20580.0
870.000	1464540880.0	1464561340.0	-20460.0
875.000	1464542020.0	1464561340.0	-19320.0
880.000	1464543520.0	1464561340.0	-17820.0
885.000	1464545320.0	1464561340.0	-16020.0
890.000	1464547180.0	1464561340.0	-14160.0
895.000	1464548740.0	1464561340.0	-12600.0
900.000	1464550660.0	1464561340.0	-10680.0
905.000	1464552820.0	1464561340.0	-8520.0
910.000	1464554320.0	1464561340.0	-7020.0
915.000	1464555820.0	1464561340.0	-5520.0
920.000	1464556960.0	1464561340.0	-4380.0
925.000	1464557860.0	1464561340.0	-3480.0
930.000	1464558880.0	1464561340.0	-2460.0
935.000	1464559660.0	1464561820.0	-2160.0
940.000	1464560020.0	1464561340.0	-1320.0
945.000	1464560860.0	1464561460.0	-600.0
950.000	1464560860.0	1464562120.0	-1260.0
955.000	1464560860.0	1464562120.0	-1260.0
960.000	1464561340.0	1464562120.0	-780.0
965.000	1464561340.0	1464562120.0	-780.0
970.000	1464561460.0	1464562120.0	-660.0
975.000	1464562120.0	1464561340.0	780.0
980.000	1464561460.0	1464561460.0	0.0
985.000	1464561940.0	1464562120.0	-180.0
990.000	1464562120.0	1464562120.0	0.0
995.000	1464562120.0	1464562120.0	0.0
1000.000	1464562120.0	1464562120.0	0.0
1005.000	1464562120.0	1464562120.0	0.0
1010.000	1464561580.0	1464562120.0	-540.0
1015.000	1464562120.0	1464562120.0	0.0
1020.000	1464562120.0	1464562120.0	0.0
1025.000	1464561820.0	1464562120.0	-300.0
1030.000	1464562120.0	1464562120.0	0.0
1035.000	1464562120.0	1464562120.0	0.0
1040.000	1464562120.0	1464562120.0	0.0
1045.000	1464562300.0	1464562120.0	180.0
1050.000	1464562120.0	1464562120.0	0.0
1055.000	1464562120.0	1464562120.0	0.0
1060.000	1464562120.0	1464562120.0	0.0
1065.000	1464562540.0	1464562120.0	420.0
1070.000	1464562840.0	1464562120.0	720.0
1075.000	1464562840.0	1464562540.0	300.0
1080.000	1464562540.0	1464562120.0	420.0
1085.000	1464562840.0	1464562600.0	240.0
1090.000	1464562840.0	1464562120.0	720.0
1095.000	1464562840.0	1464562540.0	300.0
1100.000	1464562540.0	1464562840.0	-300.0
1105.000	1464562540.0	1464562540.0	0.0
1110.000	1464562540.0	1464562540.0	0.0
1115.000	1464562840.0	1464562840.0	0.0
1120.000	1464562540.0	1464562540.0	0.0
1125.000	1464562600.0	1464562540.0	60.0
1130.000	1464562600.0	1464562540.0	60.0
1135.000	1464562840.0	1464562840.0	0.0
1140.000	1464562540.0	1464562840.0	-300.0
1145.000	1464562840.0	1464562840.0	0.0
1150.000	1464562540.0	1464562840.0	-300.0
1155.000	1464562600.0	1464562840.0	-240.0
1160.000	1464562840.0	1464562840.0	0.0
1165.000	1464562840.0	1464562840.0	0.0
1170.000	1464562840.0	1464562840.0	0.0
1175.000	1464562840.0	1464562840.0	0.0
1180.000	1464562840.0	1464562840.0	0.0
1185.000	1464562840.0	1464562840.0	0.0
1190.000	1464562840.0	1464562840.0	0.0
1195.000	1464562840.0	1464563380.0	-540.0
1200.000	1464562840.0	1464562840.0	0.0
1205.000	1464562840.0	1464562840.0	0.0
1210.000	1464562840.0	1464563380.0	-540.0
1215.000	1464562840.0	1464563380.0	-540.0
1220.000	1464562540.0	1464563380.0	-840.0
1225.000	1464562120.0	1464563380.0	-1260.0
1230.000	1464562120.0	1464563380.0	-1260.0
1235.000	1464561340.0	1464563380.0	-2040.0
1240.000	1464560860.0	1464563380.0	-2520.0
1245.000	1464560140.0	1464563320.0	-3180.0
1250.000	1464559360.0	1464563380.0	-4020.0
1255.000	1464557860.0	1464563380.0	-5520.0
1260.000	1464556600.0	1464563380.0	-6780.0
1265.000	1464555160.0	1464563380.0	-8220.0
1270.000	1464553120.0	1464563380.0	-10260.0
1275.000	1464551440.0	1464563380.0	-11940.0
1280.000	1464549700.0	1464563380.0	-13680.0
1285.000	1464547660.0	1464563380.0	-15720.0
1290.000	1464545740.0	1464563380.0	-17640.0
1295.000	1464544240.0	1464563980.0	-19740.0
1300.000	1464543280.0	1464563980.0	-20700.0
1305.000	1464542020.0	1464563620.0	-21600.0
1310.000	1464541720.0	1464563380.0	-21660.0
1315.000	1464541240.0	1464563740.0	-22500.0
1320.000	1464541720.0	1464563980.0	-22260.0
1325.000	1464541720.0	1464563980.0	-22260.0
1330.000	1464542620.0	1464563980.0	-21360.0
1335.000	1464544060.0	1464564100.0	-20040.0
1340.000	1464545680.0	1464563980.0	-18300.0
1345.000	1464547960.0	1464563980.0	-16020.0
1350.000	1464550360.0	1464563980.0	-13620.0
1355.000	1464552580.0	1464564520.0	-11940.0
1360.000	1464554800.0	1464564520.0	-9720.0
1365.000	1464557680.0	1464564520.0	-6840.0
1370.000	1464559660.0	1464564520.0	-4860.0
1375.000	1464560860.0	1464564520.0	-3660.0
1380.000	1464562120.0	1464564520.0	-2400.0
1385.000	1464563380.0	1464564520.0	-1140.0
1390.000	1464563380.0	1464564520.0	-1140.0
1395.000	1464562840.0	1464564520.0	-1680.0
1400.000	1464561340.0	1464564520.0	-3180.0
1405.000	1464560260.0	1464564520.0	-4260.0
1410.000	1464557860.0	1464564520.0	-6660.0
1415.000	1464555820.0	1464564580.0	-8760.0
1420.000	1464553420.0	1464564580.0	-11160.0
1425.000	1464551020.0	1464564520.0	-13500.0
1430.000	1464548440.0	1464564520.0	-16080.0
1435.000	1464546280.0	1464564520.0	-18240.0
1440.000	1464544420.0	1464564520.0	-20100.0
1445.000	1464543280.0	1464564580.0	-21300.0
1450.000	1464542020.0	1464564580.0	-22560.0
1455.000	1464541720.0	1464564520.0	-22800.0
1460.000	1464541720.0	1464564580.0	-22860.0
1465.000	1464542020.0	1464564520.0	-22500.0
1470.000	1464542620.0	1464565000.0	-22380.0
1475.000	1464543520.0	1464565300.0	-21780.0
1480.000	1464545320.0	1464565300.0	-19980.0
1485.000	1464546280.0	1464565300.0	-19020.0
1490.000	1464548440.0	1464565120.0	-16680.0
1495.000	1464550360.0	1464565300.0	-14940.0
1500.000	1464552160.0	1464565300.0	-13140.0
1505.000	1464554380.0	1464565300.0	-10920.0
1510.000	1464555820.0	1464565300.0	-9480.0
1515.000	1464557680.0	1464565600.0	-7920.0
1520.000	1464558700.0	1464565300.0	-6600.0
1525.000	1464559660.0	1464565300.0	-5640.0
1530.000	1464560860.0	1464565600.0	-4740.0
1535.000	1464560860.0	1464565600.0	-4740.0
1540.000	1464561340.0	1464565900.0	-4560.0
1545.000	1464562120.0	1464565900.0	-3780.0
