# Config: example.ini
# Date: Mon Jul 13 16:23:53 2015
# Center: 1465078880.0
# Span: 100000.0
# Points: 2001
# P	f	f_ref	freq-t_ref
0.000	1465083930.0	1465084080.0	-150.0
5.000	1465083680.0	1465083930.0	-250.0
10.000	1465083680.0	1465083630.0	50.0
15.000	1465083680.0	1465083930.0	-250.0
20.000	1465083680.0	1465083680.0	0.0
25.000	1465083680.0	1465083680.0	0.0
30.000	1465083630.0	1465083680.0	-50.0
35.000	1465083230.0	1465083680.0	-450.0
40.000	1465082980.0	1465083680.0	-700.0
45.000	1465082980.0	1465083630.0	-650.0
50.000	1465082980.0	1465083230.0	-250.0
55.000	1465082780.0	1465083680.0	-900.0
60.000	1465082380.0	1465083680.0	-1300.0
65.000	1465082130.0	1465083230.0	-1100.0
70.000	1465081730.0	1465083230.0	-1500.0
75.000	1465081130.0	1465083230.0	-2100.0
80.000	1465080580.0	1465083230.0	-2650.0
85.000	1465080230.0	1465083230.0	-3000.0
90.000	1465079280.0	1465083230.0	-3950.0
95.000	1465078630.0	1465082980.0	-4350.0
100.000	1465077430.0	1465082980.0	-5550.0
105.000	1465076730.0	1465082980.0	-6250.0
110.000	1465075830.0	1465083230.0	-7400.0
115.000	1465074730.0	1465082930.0	-8200.0
120.000	1465073180.0	1465082980.0	-9800.0
125.000	1465072480.0	1465082980.0	-10500.0
130.000	1465071380.0	1465082980.0	-11600.0
135.000	1465070530.0	1465082980.0	-12450.0
140.000	1465069930.0	1465082930.0	-13000.0
145.000	1465069330.0	1465082980.0	-13650.0
150.000	1465069330.0	1465082980.0	-13650.0
155.000	1465069180.0	1465082930.0	-13750.0
160.000	1465069830.0	1465082980.0	-13150.0
165.000	1465070280.0	1465082980.0	-12700.0
170.000	1465071380.0	1465082980.0	-11600.0
175.000	1465071980.0	1465082780.0	-10800.0
180.000	1465073680.0	1465082480.0	-8800.0
185.000	1465074980.0	1465082430.0	-7450.0
190.000	1465076430.0	1465082480.0	-6050.0
195.000	1465077430.0	1465082430.0	-5000.0
200.000	1465078630.0	1465082430.0	-3800.0
205.000	1465079430.0	1465082480.0	-3050.0
210.000	1465080430.0	1465082480.0	-2050.0
215.000	1465081130.0	1465082380.0	-1250.0
220.000	1465081530.0	1465082430.0	-900.0
225.000	1465081580.0	1465082480.0	-900.0
230.000	1465081030.0	1465082130.0	-1100.0
235.000	1465080580.0	1465082430.0	-1850.0
240.000	1465079880.0	1465082130.0	-2250.0
