# Config: example.ini
# Date: Fri Jun 26 10:27:26 2015
# Center: 1465438200.0
# Span: 120000.0
# Points: 2001
# P	f	f_ref	freq-t_ref
0.000	1465436460.0	1465436460.0	0.0
5.000	1465436460.0	1465436460.0	0.0
10.000	1465435980.0	1465436460.0	-480.0
15.000	1465435980.0	1465436460.0	-480.0
20.000	1465435980.0	1465436040.0	-60.0
25.000	1465435980.0	1465436460.0	-480.0
30.000	1465435560.0	1465436520.0	-960.0
35.000	1465434660.0	1465435980.0	-1320.0
40.000	1465434480.0	1465435980.0	-1500.0
45.000	1465433520.0	1465435740.0	-2220.0
50.000	1465432920.0	1465435260.0	-2340.0
55.000	1465432320.0	1465435980.0	-3660.0
60.000	1465432320.0	1465435980.0	-3660.0
65.000	1465430520.0	1465435680.0	-5160.0
70.000	1465429260.0	1465435560.0	-6300.0
75.000	1465428360.0	1465435980.0	-7620.0
80.000	1465426800.0	1465434840.0	-8040.0
85.000	1465425780.0	1465434780.0	-9000.0
90.000	1465425180.0	1465434840.0	-9660.0
95.000	1465424460.0	1465434360.0	-9900.0
100.000	1465423380.0	1465435260.0	-11880.0
105.000	1465423020.0	1465434240.0	-11220.0
110.000	1465422060.0	1465434120.0	-12060.0
115.000	1465422060.0	1465433700.0	-11640.0
120.000	1465422360.0	1465433520.0	-11160.0
125.000	1465423380.0	1465434420.0	-11040.0
130.000	1465423320.0	1465434360.0	-11040.0
135.000	1465423920.0	1465434660.0	-10740.0
140.000	1465425120.0	1465434360.0	-9240.0
145.000	1465425780.0	1465434360.0	-8580.0
150.000	1465426800.0	1465434240.0	-7440.0
155.000	1465427640.0	1465434060.0	-6420.0
160.000	1465428840.0	1465433520.0	-4680.0
165.000	1465429980.0	1465433700.0	-3720.0
170.000	1465430520.0	1465433520.0	-3000.0
175.000	1465431480.0	1465433520.0	-2040.0
180.000	1465430820.0	1465432920.0	-2100.0
185.000	1465432320.0	1465433520.0	-1200.0
190.000	1465431960.0	1465432920.0	-960.0
195.000	1465432500.0	1465432380.0	120.0
200.000	1465432140.0	1465432860.0	-720.0
205.000	1465430940.0	1465432380.0	-1440.0
210.000	1465430340.0	1465432140.0	-1800.0
215.000	1465428840.0	1465431960.0	-3120.0
220.000	1465427640.0	1465429980.0	-2340.0
225.000	1465426440.0	1465429980.0	-3540.0
230.000	1465425780.0	1465430520.0	-4740.0
235.000	1465425780.0	1465431000.0	-5220.0
240.000	1465425060.0	1465431780.0	-6720.0
245.000	1465424100.0	1465431660.0	-7560.0
250.000	1465423380.0	1465431600.0	-8220.0
255.000	1465422900.0	1465431600.0	-8700.0
260.000	1465422060.0	1465431480.0	-9420.0
265.000	1465421760.0	1465431480.0	-9720.0
270.000	1465421520.0	1465430940.0	-9420.0
275.000	1465421520.0	1465430940.0	-9420.0
280.000	1465421760.0	1465430820.0	-9060.0
285.000	1465422060.0	1465430820.0	-8760.0
290.000	1465422900.0	1465430820.0	-7920.0
295.000	1465422720.0	1465430820.0	-8100.0
300.000	1465423500.0	1465430340.0	-6840.0
305.000	1465423740.0	1465430160.0	-6420.0
310.000	1465424220.0	1465429980.0	-5760.0
315.000	1465425000.0	1465429980.0	-4980.0
320.000	1465425060.0	1465429980.0	-4920.0
325.000	1465423380.0	1465428960.0	-5580.0
330.000	1465423740.0	1465427640.0	-3900.0
335.000	1465423380.0	1465427640.0	-4260.0
340.000	1465422900.0	1465427640.0	-4740.0
345.000	1465422360.0	1465427640.0	-5280.0
350.000	1465422060.0	1465427640.0	-5580.0
355.000	1465421400.0	1465427640.0	-6240.0
360.000	1465420440.0	1465427640.0	-7200.0
365.000	1465419180.0	1465427640.0	-8460.0
370.000	1465417980.0	1465427640.0	-9660.0
375.000	1465416720.0	1465427640.0	-10920.0
380.000	1465415220.0	1465427640.0	-12420.0
385.000	1465413780.0	1465427400.0	-13620.0
390.000	1465412820.0	1465426920.0	-14100.0
395.000	1465411620.0	1465426920.0	-15300.0
400.000	1465410720.0	1465426440.0	-15720.0
405.000	1465410360.0	1465426440.0	-16080.0
410.000	1465409880.0	1465426440.0	-16560.0
415.000	1465410240.0	1465426440.0	-16200.0
420.000	1465410240.0	1465425780.0	-15540.0
