# Config: example.ini
# Date: Wed Jun 24 16:02:51 2015
# Center: 1459920750.0
# Span: 200000.0
# Points: 2001
# P	f	f_ref	freq-t_ref
0.000	1459950950.0	1459950950.0	0.0
5.000	1459950650.0	1459950650.0	0.0
10.000	1459950450.0	1459950650.0	-200.0
15.000	1459950350.0	1459950550.0	-200.0
20.000	1459949850.0	1459950350.0	-500.0
25.000	1459949550.0	1459950450.0	-900.0
30.000	1459948950.0	1459950450.0	-1500.0
35.000	1459948250.0	1459950350.0	-2100.0
40.000	1459947550.0	1459950350.0	-2800.0
45.000	1459946450.0	1459950350.0	-3900.0
50.000	1459945550.0	1459950150.0	-4600.0
55.000	1459944150.0	1459950150.0	-6000.0
60.000	1459942450.0	1459950150.0	-7700.0
65.000	1459941050.0	1459950150.0	-9100.0
70.000	1459939250.0	1459949850.0	-10600.0
75.000	1459937450.0	1459949850.0	-12400.0
80.000	1459935750.0	1459949850.0	-14100.0
85.000	1459934250.0	1459949750.0	-15500.0
90.000	1459932850.0	1459949550.0	-16700.0
95.000	1459931950.0	1459949550.0	-17600.0
100.000	1459930950.0	1459949550.0	-18600.0
105.000	1459930350.0	1459949350.0	-19000.0
110.000	1459930350.0	1459948950.0	-18600.0
115.000	1459930950.0	1459949250.0	-18300.0
120.000	1459931250.0	1459948950.0	-17700.0
125.000	1459932450.0	1459948850.0	-16400.0
130.000	1459933850.0	1459948850.0	-15000.0
135.000	1459935750.0	1459948650.0	-12900.0
140.000	1459937750.0	1459948350.0	-10600.0
145.000	1459940150.0	1459948350.0	-8200.0
150.000	1459942250.0	1459948350.0	-6100.0
155.000	1459944150.0	1459948250.0	-4100.0
160.000	1459945950.0	1459947950.0	-2000.0
165.000	1459946950.0	1459948050.0	-1100.0
170.000	1459947350.0	1459947950.0	-600.0
175.000	1459947250.0	1459947550.0	-300.0
180.000	1459946450.0	1459947650.0	-1200.0
185.000	1459945450.0	1459947350.0	-1900.0
190.000	1459943350.0	1459947350.0	-4000.0
195.000	1459941050.0	1459947050.0	-6000.0
200.000	1459937750.0	1459947050.0	-9300.0
205.000	1459934450.0	1459946950.0	-12500.0
210.000	1459930950.0	1459946450.0	-15500.0
215.000	1459927450.0	1459946450.0	-19000.0
220.000	1459924050.0	1459946450.0	-22400.0
225.000	1459920850.0	1459946250.0	-25400.0
230.000	1459918050.0	1459945750.0	-27700.0
235.000	1459915450.0	1459945750.0	-30300.0
240.000	1459913450.0	1459945750.0	-32300.0
245.000	1459912050.0	1459945550.0	-33500.0
250.000	1459911750.0	1459945250.0	-33500.0
255.000	1459911550.0	1459945050.0	-33500.0
260.000	1459912050.0	1459945050.0	-33000.0
265.000	1459912450.0	1459944750.0	-32300.0
270.000	1459913550.0	1459944550.0	-31000.0
275.000	1459914950.0	1459944550.0	-29600.0
280.000	1459916750.0	1459944150.0	-27400.0
285.000	1459919050.0	1459944050.0	-25000.0
290.000	1459921350.0	1459943850.0	-22500.0
295.000	1459924050.0	1459944050.0	-20000.0
300.000	1459926450.0	1459943750.0	-17300.0
305.000	1459929250.0	1459943850.0	-14600.0
310.000	1459931250.0	1459943550.0	-12300.0
315.000	1459932750.0	1459943350.0	-10600.0
320.000	1459934750.0	1459943250.0	-8500.0
325.000	1459935750.0	1459943150.0	-7400.0
330.000	1459936550.0	1459942850.0	-6300.0
335.000	1459937450.0	1459942650.0	-5200.0
340.000	1459937750.0	1459942450.0	-4700.0
345.000	1459938250.0	1459942450.0	-4200.0
350.000	1459938250.0	1459942450.0	-4200.0
355.000	1459938450.0	1459942350.0	-3900.0
360.000	1459938350.0	1459942250.0	-3900.0
365.000	1459937750.0	1459941850.0	-4100.0
370.000	1459937750.0	1459941550.0	-3800.0
375.000	1459937750.0	1459941750.0	-4000.0
380.000	1459937450.0	1459941750.0	-4300.0
385.000	1459937250.0	1459941550.0	-4300.0
390.000	1459936550.0	1459941050.0	-4500.0
395.000	1459936550.0	1459941050.0	-4500.0
400.000	1459936150.0	1459940550.0	-4400.0
405.000	1459936150.0	1459940150.0	-4000.0
410.000	1459936150.0	1459940150.0	-4000.0
415.000	1459935750.0	1459940050.0	-4300.0
420.000	1459935750.0	1459939950.0	-4200.0
425.000	1459936250.0	1459939450.0	-3200.0
430.000	1459936250.0	1459939250.0	-3000.0
435.000	1459936550.0	1459939250.0	-2700.0
440.000	1459936550.0	1459938850.0	-2300.0
445.000	1459936550.0	1459938650.0	-2100.0
450.000	1459937250.0	1459938750.0	-1500.0
455.000	1459937250.0	1459938450.0	-1200.0
460.000	1459937450.0	1459938350.0	-900.0
465.000	1459937750.0	1459938250.0	-500.0
470.000	1459937750.0	1459937750.0	0.0
475.000	1459937750.0	1459937750.0	0.0
480.000	1459937750.0	1459937750.0	0.0
485.000	1459937750.0	1459937450.0	300.0
490.000	1459937250.0	1459937250.0	0.0
495.000	1459936950.0	1459936950.0	0.0
500.000	1459936550.0	1459936550.0	0.0
505.000	1459935750.0	1459936550.0	-800.0
510.000	1459935150.0	1459936550.0	-1400.0
