# Config: example.ini
# Date: Fri Jul 24 10:10:40 2015
# Center: 508459872.5
# Span: 80000.0
# Points: 2001
# P	f	f_ref	freq-t_ref
0.000	508469312.5	508469312.5	0.0
5.000	508469312.5	508469312.5	0.0
10.000	508469312.5	508469312.5	0.0
15.000	508469312.5	508469312.5	0.0
20.000	508469312.5	508469312.5	0.0
25.000	508469312.5	508469312.5	0.0
30.000	508469312.5	508469312.5	0.0
35.000	508469312.5	508469312.5	0.0
40.000	508469312.5	508469312.5	0.0
45.000	508469112.5	508469232.5	-120.0
50.000	508469152.5	508469312.5	-160.0
55.000	508469112.5	508469312.5	-200.0
60.000	508468992.5	508469312.5	-320.0
65.000	508468992.5	508469312.5	-320.0
70.000	508468792.5	508469312.5	-520.0
75.000	508468552.5	508469232.5	-680.0
80.000	508468352.5	508469152.5	-800.0
85.000	508468152.5	508469192.5	-1040.0
90.000	508467952.5	508469152.5	-1200.0
95.000	508467712.5	508469232.5	-1520.0
100.000	508467592.5	508469152.5	-1560.0
105.000	508467472.5	508469232.5	-1760.0
110.000	508467232.5	508469232.5	-2000.0
115.000	508467272.5	508469152.5	-1880.0
120.000	508467232.5	508469112.5	-1880.0
125.000	508467232.5	508469112.5	-1880.0
130.000	508467152.5	508469112.5	-1960.0
135.000	508467072.5	508469112.5	-2040.0
140.000	508467072.5	508469112.5	-2040.0
145.000	508466992.5	508468992.5	-2000.0
150.000	508467032.5	508469112.5	-2080.0
155.000	508467032.5	508469032.5	-2000.0
160.000	508467152.5	508469032.5	-1880.0
165.000	508467032.5	508469032.5	-2000.0
170.000	508467152.5	508469032.5	-1880.0
175.000	508467112.5	508468992.5	-1880.0
180.000	508467032.5	508468992.5	-1960.0
185.000	508467032.5	508468992.5	-1960.0
190.000	508467032.5	508468992.5	-1960.0
195.000	508467032.5	508468912.5	-1880.0
200.000	508467032.5	508468912.5	-1880.0
205.000	508467032.5	508468832.5	-1800.0
210.000	508466992.5	508468832.5	-1840.0
215.000	508466992.5	508468912.5	-1920.0
220.000	508466872.5	508468832.5	-1960.0
225.000	508466872.5	508468832.5	-1960.0
230.000	508466912.5	508468832.5	-1920.0
235.000	508466912.5	508468832.5	-1920.0
240.000	508466912.5	508468832.5	-1920.0
245.000	508466872.5	508468832.5	-1960.0
250.000	508466872.5	508468832.5	-1960.0
255.000	508466992.5	508468832.5	-1840.0
260.000	508467152.5	508468832.5	-1680.0
265.000	508467232.5	508468792.5	-1560.0
270.000	508467272.5	508468832.5	-1560.0
275.000	508467472.5	508468792.5	-1320.0
280.000	508467752.5	508468712.5	-960.0
285.000	508467872.5	508468712.5	-840.0
290.000	508468112.5	508468712.5	-600.0
295.000	508468152.5	508468712.5	-560.0
300.000	508468312.5	508468712.5	-400.0
305.000	508468392.5	508468632.5	-240.0
310.000	508468472.5	508468632.5	-160.0
315.000	508468512.5	508468712.5	-200.0
320.000	508468552.5	508468712.5	-160.0
325.000	508468472.5	508468632.5	-160.0
330.000	508468432.5	508468632.5	-200.0
335.000	508468392.5	508468632.5	-240.0
340.000	508468192.5	508468552.5	-360.0
345.000	508468152.5	508468552.5	-400.0
350.000	508467872.5	508468632.5	-760.0
355.000	508467432.5	508468552.5	-1120.0
360.000	508466872.5	508468552.5	-1680.0
365.000	508466112.5	508468552.5	-2440.0
370.000	508465112.5	508468552.5	-3440.0
375.000	508463912.5	508468552.5	-4640.0
380.000	508462432.5	508468552.5	-6120.0
385.000	508460832.5	508468552.5	-7720.0
390.000	508459312.5	508468552.5	-9240.0
395.000	508457872.5	508468552.5	-10680.0
400.000	508456592.5	508468512.5	-11920.0
405.000	508455672.5	508468512.5	-12840.0
410.000	508454912.5	508468552.5	-13640.0
415.000	508454352.5	508468552.5	-14200.0
420.000	508453952.5	508468432.5	-14480.0
425.000	508453872.5	508468512.5	-14640.0
430.000	508453792.5	508468432.5	-14640.0
435.000	508453872.5	508468432.5	-14560.0
440.000	508453872.5	508468432.5	-14560.0
445.000	508453952.5	508468352.5	-14400.0
450.000	508454032.5	508468312.5	-14280.0
455.000	508454232.5	508468432.5	-14200.0
460.000	508454232.5	508468312.5	-14080.0
465.000	508454352.5	508468312.5	-13960.0
470.000	508454352.5	508468312.5	-13960.0
475.000	508454472.5	508468352.5	-13880.0
480.000	508454512.5	508468312.5	-13800.0
485.000	508454592.5	508468312.5	-13720.0
490.000	508454592.5	508468312.5	-13720.0
495.000	508454512.5	508468312.5	-13800.0
500.000	508454472.5	508468312.5	-13840.0
505.000	508454352.5	508468312.5	-13960.0
510.000	508454352.5	508468232.5	-13880.0
515.000	508454152.5	508468192.5	-14040.0
520.000	508454032.5	508468232.5	-14200.0
525.000	508454032.5	508468192.5	-14160.0
530.000	508453952.5	508468192.5	-14240.0
535.000	508453952.5	508468192.5	-14240.0
540.000	508453952.5	508468192.5	-14240.0
545.000	508454032.5	508468152.5	-14120.0
550.000	508454352.5	508468192.5	-13840.0
555.000	508454752.5	508468192.5	-13440.0
560.000	508455392.5	508468192.5	-12800.0
565.000	508456232.5	508468152.5	-11920.0
570.000	508457392.5	508468152.5	-10760.0
575.000	508458712.5	508468112.5	-9400.0
580.000	508460072.5	508468112.5	-8040.0
585.000	508461632.5	508468112.5	-6480.0
590.000	508463112.5	508468072.5	-4960.0
595.000	508464232.5	508468072.5	-3840.0
600.000	508465232.5	508468112.5	-2880.0
605.000	508466152.5	508468072.5	-1920.0
610.000	508466512.5	508468112.5	-1600.0
615.000	508466992.5	508467952.5	-960.0
620.000	508467232.5	508467952.5	-720.0
625.000	508467312.5	508467952.5	-640.0
630.000	508467432.5	508467912.5	-480.0
635.000	508467432.5	508467952.5	-520.0
640.000	508467232.5	508467872.5	-640.0
645.000	508467032.5	508467872.5	-840.0
650.000	508466712.5	508467912.5	-1200.0
655.000	508466192.5	508467872.5	-1680.0
660.000	508465472.5	508467872.5	-2400.0
665.000	508464232.5	508467872.5	-3640.0
670.000	508462832.5	508467872.5	-5040.0
675.000	508461032.5	508467792.5	-6760.0
680.000	508458992.5	508467712.5	-8720.0
685.000	508456792.5	508467712.5	-10920.0
690.000	508454512.5	508467752.5	-13240.0
695.000	508452512.5	508467752.5	-15240.0
700.000	508450752.5	508467672.5	-16920.0
705.000	508449232.5	508467672.5	-18440.0
710.000	508448072.5	508467712.5	-19640.0
715.000	508447432.5	508467752.5	-20320.0
720.000	508446912.5	508467712.5	-20800.0
725.000	508446552.5	508467672.5	-21120.0
730.000	508446552.5	508467672.5	-21120.0
735.000	508446552.5	508467592.5	-21040.0
740.000	508446632.5	508467672.5	-21040.0
745.000	508446712.5	508467672.5	-20960.0
750.000	508446912.5	508467672.5	-20760.0
