# Config: example.ini
# Date: Thu Jul 23 09:58:37 2015
# Center: 501021642.5
# Span: 80000.0
# Points: 2001
# P	f	f_ref	freq-t_ref
0.000	501034082.5	501034122.5	-40.0
5.000	501034082.5	501034122.5	-40.0
10.000	501034082.5	501034082.5	0.0
15.000	501034002.5	501034122.5	-120.0
20.000	501034002.5	501034082.5	-80.0
25.000	501034002.5	501034002.5	0.0
30.000	501033922.5	501034002.5	-80.0
35.000	501033682.5	501034082.5	-400.0
40.000	501033562.5	501034122.5	-560.0
45.000	501033322.5	501034002.5	-680.0
50.000	501032842.5	501034082.5	-1240.0
55.000	501032202.5	501034042.5	-1840.0
60.000	501031202.5	501034002.5	-2800.0
65.000	501029962.5	501034002.5	-4040.0
70.000	501028402.5	501034002.5	-5600.0
75.000	501026322.5	501034002.5	-7680.0
80.000	501024122.5	501033922.5	-9800.0
85.000	501021562.5	501033922.5	-12360.0
90.000	501019282.5	501034002.5	-14720.0
95.000	501016962.5	501034002.5	-17040.0
100.000	501015082.5	501033922.5	-18840.0
105.000	501013522.5	501033922.5	-20400.0
110.000	501012242.5	501033922.5	-21680.0
115.000	501011362.5	501033882.5	-22520.0
120.000	501010802.5	501033922.5	-23120.0
125.000	501010562.5	501033882.5	-23320.0
130.000	501010322.5	501033922.5	-23600.0
135.000	501010322.5	501033922.5	-23600.0
140.000	501010322.5	501033882.5	-23560.0
145.000	501010562.5	501033922.5	-23360.0
150.000	501010562.5	501033922.5	-23360.0
155.000	501010642.5	501033882.5	-23240.0
160.000	501010762.5	501033922.5	-23160.0
165.000	501010842.5	501033922.5	-23080.0
170.000	501010842.5	501033922.5	-23080.0
175.000	501010842.5	501033922.5	-23080.0
180.000	501010802.5	501033882.5	-23080.0
185.000	501010642.5	501033842.5	-23200.0
190.000	501010562.5	501033882.5	-23320.0
195.000	501010442.5	501033882.5	-23440.0
200.000	501010162.5	501033882.5	-23720.0
205.000	501010042.5	501033882.5	-23840.0
210.000	501009802.5	501033802.5	-24000.0
215.000	501009522.5	501033802.5	-24280.0
220.000	501009282.5	501033722.5	-24440.0
225.000	501009082.5	501033802.5	-24720.0
230.000	501008802.5	501033722.5	-24920.0
235.000	501008722.5	501033722.5	-25000.0
240.000	501008722.5	501033722.5	-25000.0
245.000	501009042.5	501033682.5	-24640.0
