# Config: example.ini
# Date: Wed Jul 22 11:26:42 2015
# Center: 499522532.5
# Span: 80000.0
# Points: 2001
# P	f	f_ref	freq-t_ref
0.000	499531412.5	499531412.5	0.0
5.000	499531452.5	499531452.5	0.0
10.000	499531412.5	499531412.5	0.0
15.000	499531372.5	499531412.5	-40.0
20.000	499531372.5	499531372.5	0.0
25.000	499531332.5	499531412.5	-80.0
30.000	499531332.5	499531372.5	-40.0
35.000	499531252.5	499531372.5	-120.0
40.000	499531172.5	499531412.5	-240.0
45.000	499531012.5	499531372.5	-360.0
50.000	499530812.5	499531372.5	-560.0
55.000	499530532.5	499531332.5	-800.0
60.000	499530092.5	499531372.5	-1280.0
65.000	499529452.5	499531332.5	-1880.0
70.000	499528652.5	499531332.5	-2680.0
75.000	499527652.5	499531332.5	-3680.0
80.000	499526492.5	499531332.5	-4840.0
85.000	499525172.5	499531332.5	-6160.0
90.000	499523852.5	499531332.5	-7480.0
95.000	499522572.5	499531332.5	-8760.0
100.000	499521532.5	499531332.5	-9800.0
105.000	499520612.5	499531332.5	-10720.0
110.000	499519892.5	499531332.5	-11440.0
115.000	499519372.5	499531332.5	-11960.0
120.000	499519052.5	499531332.5	-12280.0
125.000	499518812.5	499531292.5	-12480.0
130.000	499518692.5	499531292.5	-12600.0
135.000	499518692.5	499531292.5	-12600.0
140.000	499518692.5	499531292.5	-12600.0
145.000	499518692.5	499531292.5	-12600.0
150.000	499518772.5	499531252.5	-12480.0
155.000	499518812.5	499531252.5	-12440.0
160.000	499518852.5	499531252.5	-12400.0
165.000	499518852.5	499531292.5	-12440.0
170.000	499518892.5	499531252.5	-12360.0
175.000	499518852.5	499531252.5	-12400.0
180.000	499518812.5	499531212.5	-12400.0
185.000	499518772.5	499531212.5	-12440.0
190.000	499518652.5	499531212.5	-12560.0
195.000	499518572.5	499531212.5	-12640.0
200.000	499518452.5	499531212.5	-12760.0
205.000	499518332.5	499531212.5	-12880.0
210.000	499518172.5	499531212.5	-13040.0
215.000	499518012.5	499531212.5	-13200.0
220.000	499517852.5	499531172.5	-13320.0
225.000	499517692.5	499531172.5	-13480.0
230.000	499517532.5	499531172.5	-13640.0
235.000	499517452.5	499531172.5	-13720.0
240.000	499517452.5	499531172.5	-13720.0
245.000	499517572.5	499531172.5	-13600.0
250.000	499517852.5	499531172.5	-13320.0
255.000	499518292.5	499531172.5	-12880.0
260.000	499519012.5	499531172.5	-12160.0
265.000	499519972.5	499531132.5	-11160.0
270.000	499521132.5	499531092.5	-9960.0
275.000	499522492.5	499531092.5	-8600.0
280.000	499524012.5	499531092.5	-7080.0
285.000	499525452.5	499531092.5	-5640.0
290.000	499526852.5	499531092.5	-4240.0
295.000	499527972.5	499531092.5	-3120.0
300.000	499528932.5	499531052.5	-2120.0
305.000	499529692.5	499531052.5	-1360.0
310.000	499530172.5	499531052.5	-880.0
315.000	499530492.5	499531012.5	-520.0
320.000	499530772.5	499530972.5	-200.0
325.000	499530932.5	499531012.5	-80.0
330.000	499530972.5	499531012.5	-40.0
335.000	499530972.5	499531012.5	-40.0
340.000	499530932.5	499531012.5	-80.0
345.000	499530812.5	499530972.5	-160.0
350.000	499530612.5	499530972.5	-360.0
355.000	499530332.5	499530972.5	-640.0
360.000	499529892.5	499530932.5	-1040.0
