# Config: example.ini
# Date: Tue Jul 21 17:58:15 2015
# Center: 499500170.0
# Span: 80000.0
# Points: 2001
# P	f	f_ref	freq-t_ref
0.000	499508050.0	499508050.0	0.0
5.000	499508010.0	499508050.0	-40.0
10.000	499507970.0	499508010.0	-40.0
15.000	499507970.0	499508010.0	-40.0
20.000	499507930.0	499507970.0	-40.0
25.000	499507890.0	499507930.0	-40.0
30.000	499507850.0	499507890.0	-40.0
35.000	499507770.0	499507890.0	-120.0
40.000	499507690.0	499507890.0	-200.0
45.000	499507530.0	499507850.0	-320.0
50.000	499507330.0	499507810.0	-480.0
55.000	499507010.0	499507810.0	-800.0
60.000	499506570.0	499507730.0	-1160.0
65.000	499506050.0	499507730.0	-1680.0
70.000	499505290.0	499507690.0	-2400.0
75.000	499504370.0	499507690.0	-3320.0
80.000	499503370.0	499507650.0	-4280.0
85.000	499502250.0	499507650.0	-5400.0
90.000	499501050.0	499507570.0	-6520.0
95.000	499499970.0	499507570.0	-7600.0
100.000	499499050.0	499507530.0	-8480.0
105.000	499498290.0	499507490.0	-9200.0
110.000	499497690.0	499507450.0	-9760.0
115.000	499497210.0	499507450.0	-10240.0
120.000	499496930.0	499507450.0	-10520.0
125.000	499496730.0	499507410.0	-10680.0
130.000	499496650.0	499507370.0	-10720.0
135.000	499496610.0	499507330.0	-10720.0
140.000	499496570.0	499507330.0	-10760.0
145.000	499496610.0	499507290.0	-10680.0
150.000	499496610.0	499507250.0	-10640.0
155.000	499496610.0	499507250.0	-10640.0
160.000	499496650.0	499507210.0	-10560.0
165.000	499496610.0	499507170.0	-10560.0
170.000	499496610.0	499507170.0	-10560.0
175.000	499496570.0	499507130.0	-10560.0
180.000	499496490.0	499507090.0	-10600.0
185.000	499496450.0	499507050.0	-10600.0
190.000	499496330.0	499507050.0	-10720.0
195.000	499496210.0	499507010.0	-10800.0
200.000	499496090.0	499507010.0	-10920.0
205.000	499495970.0	499506970.0	-11000.0
210.000	499495810.0	499506930.0	-11120.0
215.000	499495650.0	499506930.0	-11280.0
220.000	499495490.0	499506890.0	-11400.0
225.000	499495330.0	499506890.0	-11560.0
230.000	499495210.0	499506850.0	-11640.0
235.000	499495170.0	499506810.0	-11640.0
240.000	499495130.0	499506810.0	-11680.0
245.000	499495250.0	499506810.0	-11560.0
250.000	499495490.0	499506770.0	-11280.0
255.000	499495890.0	499506730.0	-10840.0
260.000	499496450.0	499506690.0	-10240.0
265.000	499497330.0	499506690.0	-9360.0
270.000	499498330.0	499506690.0	-8360.0
275.000	499499530.0	499506650.0	-7120.0
280.000	499500690.0	499506610.0	-5920.0
285.000	499501930.0	499506610.0	-4680.0
290.000	499503130.0	499506570.0	-3440.0
295.000	499504050.0	499506530.0	-2480.0
300.000	499504770.0	499506490.0	-1720.0
305.000	499505370.0	499506490.0	-1120.0
310.000	499505770.0	499506450.0	-680.0
315.000	499506050.0	499506450.0	-400.0
320.000	499506170.0	499506410.0	-240.0
325.000	499506290.0	499506370.0	-80.0
330.000	499506330.0	499506330.0	0.0
335.000	499506290.0	499506330.0	-40.0
340.000	499506210.0	499506290.0	-80.0
345.000	499506090.0	499506250.0	-160.0
350.000	499505890.0	499506250.0	-360.0
355.000	499505610.0	499506170.0	-560.0
360.000	499505210.0	499506170.0	-960.0
365.000	499504610.0	499506170.0	-1560.0
370.000	499503890.0	499506130.0	-2240.0
375.000	499503050.0	499506090.0	-3040.0
380.000	499501970.0	499506050.0	-4080.0
385.000	499500890.0	499506050.0	-5160.0
390.000	499499730.0	499506010.0	-6280.0
395.000	499498730.0	499505970.0	-7240.0
400.000	499497770.0	499505930.0	-8160.0
405.000	499497010.0	499505930.0	-8920.0
410.000	499496450.0	499505930.0	-9480.0
415.000	499496090.0	499505890.0	-9800.0
420.000	499495810.0	499505850.0	-10040.0
425.000	499495650.0	499505850.0	-10200.0
430.000	499495650.0	499505850.0	-10200.0
435.000	499495650.0	499505810.0	-10160.0
440.000	499495650.0	499505770.0	-10120.0
445.000	499495730.0	499505770.0	-10040.0
450.000	499495810.0	499505770.0	-9960.0
455.000	499495850.0	499505770.0	-9920.0
460.000	499495930.0	499505730.0	-9800.0
465.000	499495970.0	499505690.0	-9720.0
470.000	499496010.0	499505690.0	-9680.0
475.000	499496050.0	499505690.0	-9640.0
480.000	499496050.0	499505690.0	-9640.0
485.000	499496050.0	499505650.0	-9600.0
490.000	499496010.0	499505650.0	-9640.0
495.000	499495930.0	499505610.0	-9680.0
500.000	499495850.0	499505610.0	-9760.0
505.000	499495810.0	499505610.0	-9800.0
510.000	499495690.0	499505570.0	-9880.0
515.000	499495570.0	499505530.0	-9960.0
520.000	499495450.0	499505530.0	-10080.0
525.000	499495370.0	499505530.0	-10160.0
530.000	499495250.0	499505490.0	-10240.0
535.000	499495250.0	499505490.0	-10240.0
540.000	499495250.0	499505450.0	-10200.0
545.000	499495330.0	499505450.0	-10120.0
550.000	499495530.0	499505450.0	-9920.0
555.000	499495850.0	499505410.0	-9560.0
560.000	499496370.0	499505410.0	-9040.0
565.000	499497090.0	499505370.0	-8280.0
570.000	499497930.0	499505370.0	-7440.0
575.000	499498930.0	499505330.0	-6400.0
580.000	499500050.0	499505330.0	-5280.0
585.000	499501130.0	499505330.0	-4200.0
590.000	499502090.0	499505330.0	-3240.0
595.000	499503010.0	499505290.0	-2280.0
600.000	499503730.0	499505290.0	-1560.0
605.000	499504250.0	499505290.0	-1040.0
610.000	499504650.0	499505290.0	-640.0
615.000	499504930.0	499505290.0	-360.0
620.000	499505090.0	499505250.0	-160.0
625.000	499505170.0	499505250.0	-80.0
630.000	499505210.0	499505250.0	-40.0
635.000	499505170.0	499505250.0	-80.0
640.000	499505090.0	499505250.0	-160.0
645.000	499504970.0	499505250.0	-280.0
650.000	499504730.0	499505210.0	-480.0
655.000	499504330.0	499505210.0	-880.0
660.000	499503770.0	499505210.0	-1440.0
665.000	499503050.0	499505210.0	-2160.0
670.000	499502090.0	499505210.0	-3120.0
675.000	499500810.0	499505210.0	-4400.0
680.000	499499370.0	499505210.0	-5840.0
685.000	499497850.0	499505210.0	-7360.0
690.000	499496290.0	499505210.0	-8920.0
695.000	499494770.0	499505210.0	-10440.0
700.000	499493490.0	499505210.0	-11720.0
705.000	499492450.0	499505210.0	-12760.0
710.000	499491730.0	499505210.0	-13480.0
715.000	499491170.0	499505210.0	-14040.0
720.000	499490810.0	499505210.0	-14400.0
725.000	499490650.0	499505210.0	-14560.0
730.000	499490610.0	499505170.0	-14560.0
735.000	499490650.0	499505210.0	-14560.0
740.000	499490690.0	499505210.0	-14520.0
745.000	499490810.0	499505210.0	-14400.0
750.000	499490930.0	499505210.0	-14280.0
755.000	499491050.0	499505210.0	-14160.0
760.000	499491170.0	499505210.0	-14040.0
765.000	499491290.0	499505210.0	-13920.0
770.000	499491330.0	499505210.0	-13880.0
775.000	499491370.0	499505210.0	-13840.0
780.000	499491410.0	499505210.0	-13800.0
785.000	499491410.0	499505210.0	-13800.0
790.000	499491410.0	499505210.0	-13800.0
795.000	499491330.0	499505210.0	-13880.0
800.000	499491250.0	499505250.0	-14000.0
805.000	499491170.0	499505250.0	-14080.0
810.000	499491050.0	499505250.0	-14200.0
815.000	499490930.0	499505250.0	-14320.0
820.000	499490810.0	499505250.0	-14440.0
825.000	499490690.0	499505250.0	-14560.0
830.000	499490570.0	499505250.0	-14680.0
835.000	499490530.0	499505250.0	-14720.0
840.000	499490530.0	499505290.0	-14760.0
845.000	499490690.0	499505290.0	-14600.0
850.000	499491010.0	499505290.0	-14280.0
855.000	499491490.0	499505290.0	-13800.0
860.000	499492210.0	499505290.0	-13080.0
865.000	499493210.0	499505290.0	-12080.0
870.000	499494490.0	499505330.0	-10840.0
875.000	499495930.0	499505330.0	-9400.0
880.000	499497530.0	499505330.0	-7800.0
885.000	499499130.0	499505330.0	-6200.0
890.000	499500650.0	499505330.0	-4680.0
895.000	499501970.0	499505330.0	-3360.0
900.000	499503010.0	499505330.0	-2320.0
905.000	499503810.0	499505370.0	-1560.0
910.000	499504410.0	499505370.0	-960.0
915.000	499504810.0	499505370.0	-560.0
920.000	499505090.0	499505370.0	-280.0
925.000	499505250.0	499505370.0	-120.0
930.000	499505330.0	499505370.0	-40.0
935.000	499505330.0	499505370.0	-40.0
940.000	499505250.0	499505370.0	-120.0
945.000	499505090.0	499505410.0	-320.0
950.000	499504810.0	499505410.0	-600.0
955.000	499504370.0	499505410.0	-1040.0
960.000	499503730.0	499505410.0	-1680.0
965.000	499502810.0	499505450.0	-2640.0
970.000	499501530.0	499505450.0	-3920.0
975.000	499500010.0	499505450.0	-5440.0
980.000	499498210.0	499505450.0	-7240.0
985.000	499496210.0	499505450.0	-9240.0
990.000	499494170.0	499505450.0	-11280.0
995.000	499492330.0	499505450.0	-13120.0
1000.000	499490690.0	499505450.0	-14760.0
1005.000	499489330.0	499505490.0	-16160.0
1010.000	499488370.0	499505490.0	-17120.0
1015.000	499487730.0	499505490.0	-17760.0
1020.000	499487290.0	499505530.0	-18240.0
1025.000	499487090.0	499505530.0	-18440.0
1030.000	499487010.0	499505530.0	-18520.0
1035.000	499487050.0	499505530.0	-18480.0
1040.000	499487210.0	499505530.0	-18320.0
1045.000	499487290.0	499505530.0	-18240.0
1050.000	499487450.0	499505530.0	-18080.0
1055.000	499487650.0	499505530.0	-17880.0
1060.000	499487810.0	499505570.0	-17760.0
1065.000	499487970.0	499505570.0	-17600.0
1070.000	499488010.0	499505570.0	-17560.0
1075.000	499488130.0	499505610.0	-17480.0
1080.000	499488210.0	499505610.0	-17400.0
1085.000	499488210.0	499505610.0	-17400.0
1090.000	499488170.0	499505610.0	-17440.0
1095.000	499488090.0	499505650.0	-17560.0
1100.000	499488010.0	499505650.0	-17640.0
1105.000	499487930.0	499505690.0	-17760.0
1110.000	499487810.0	499505690.0	-17880.0
1115.000	499487690.0	499505690.0	-18000.0
1120.000	499487450.0	499505690.0	-18240.0
1125.000	499487290.0	499505690.0	-18400.0
1130.000	499487210.0	499505690.0	-18480.0
1135.000	499487170.0	499505690.0	-18520.0
1140.000	499487210.0	499505730.0	-18520.0
1145.000	499487370.0	499505730.0	-18360.0
1150.000	499487690.0	499505770.0	-18080.0
1155.000	499488210.0	499505770.0	-17560.0
1160.000	499489130.0	499505770.0	-16640.0
1165.000	499490330.0	499505770.0	-15440.0
1170.000	499491810.0	499505770.0	-13960.0
1175.000	499493570.0	499505810.0	-12240.0
1180.000	499495570.0	499505810.0	-10240.0
1185.000	499497610.0	499505850.0	-8240.0
1190.000	499499570.0	499505850.0	-6280.0
1195.000	499501290.0	499505850.0	-4560.0
1200.000	499502690.0	499505890.0	-3200.0
1205.000	499503810.0	499505850.0	-2040.0
1210.000	499504610.0	499505890.0	-1280.0
1215.000	499505130.0	499505890.0	-760.0
1220.000	499505530.0	499505890.0	-360.0
1225.000	499505730.0	499505930.0	-200.0
1230.000	499505850.0	499505930.0	-80.0
1235.000	499505930.0	499505930.0	0.0
1240.000	499505850.0	499505970.0	-120.0
1245.000	499505730.0	499505970.0	-240.0
1250.000	499505530.0	499506010.0	-480.0
1255.000	499505090.0	499506010.0	-920.0
1260.000	499504490.0	499506010.0	-1520.0
1265.000	499503650.0	499506050.0	-2400.0
1270.000	499502570.0	499506050.0	-3480.0
1275.000	499501170.0	499506050.0	-4880.0
1280.000	499499450.0	499506050.0	-6600.0
1285.000	499497610.0	499506090.0	-8480.0
1290.000	499495810.0	499506090.0	-10280.0
1295.000	499493970.0	499506090.0	-12120.0
1300.000	499492370.0	499506130.0	-13760.0
1305.000	499491130.0	499506170.0	-15040.0
1310.000	499490170.0	499506170.0	-16000.0
1315.000	499489530.0	499506170.0	-16640.0
1320.000	499489090.0	499506170.0	-17080.0
1325.000	499488890.0	499506170.0	-17280.0
1330.000	499488810.0	499506210.0	-17400.0
1335.000	499488850.0	499506250.0	-17400.0
1340.000	499488970.0	499506250.0	-17280.0
1345.000	499489090.0	499506250.0	-17160.0
1350.000	499489290.0	499506250.0	-16960.0
1355.000	499489450.0	499506290.0	-16840.0
1360.000	499489610.0	499506330.0	-16720.0
1365.000	499489770.0	499506330.0	-16560.0
1370.000	499489850.0	499506330.0	-16480.0
1375.000	499489970.0	499506330.0	-16360.0
1380.000	499490010.0	499506330.0	-16320.0
1385.000	499490050.0	499506370.0	-16320.0
1390.000	499490050.0	499506410.0	-16360.0
1395.000	499490010.0	499506410.0	-16400.0
1400.000	499489970.0	499506410.0	-16440.0
1405.000	499489890.0	499506450.0	-16560.0
1410.000	499489770.0	499506450.0	-16680.0
1415.000	499489650.0	499506490.0	-16840.0
1420.000	499489530.0	499506490.0	-16960.0
1425.000	499489370.0	499506490.0	-17120.0
1430.000	499489290.0	499506530.0	-17240.0
1435.000	499489250.0	499506530.0	-17280.0
1440.000	499489250.0	499506570.0	-17320.0
1445.000	499489410.0	499506570.0	-17160.0
1450.000	499489690.0	499506570.0	-16880.0
1455.000	499490250.0	499506570.0	-16320.0
1460.000	499491050.0	499506570.0	-15520.0
1465.000	499492130.0	499506610.0	-14480.0
1470.000	499493570.0	499506610.0	-13040.0
1475.000	499495250.0	499506650.0	-11400.0
1480.000	499497090.0	499506650.0	-9560.0
1485.000	499499010.0	499506690.0	-7680.0
1490.000	499500770.0	499506690.0	-5920.0
1495.000	499502450.0	499506690.0	-4240.0
1500.000	499503730.0	499506730.0	-3000.0
1505.000	499504730.0	499506730.0	-2000.0
