# Config: example.ini
# Date: Mon Jun 22 09:44:52 2015
# Center: 508467000.0
# Span: 100000.0
# Points: 2001
# P	f	f_ref	freq-t_ref
0.000	508474250.0	508474250.0	0.0
5.000	508474150.0	508474250.0	-100.0
10.000	508474250.0	508474250.0	0.0
15.000	508474250.0	508474150.0	100.0
20.000	508474100.0	508474250.0	-150.0
25.000	508474150.0	508474150.0	0.0
30.000	508474100.0	508474100.0	0.0
35.000	508474100.0	508474100.0	0.0
40.000	508474100.0	508474150.0	-50.0
45.000	508474050.0	508474050.0	0.0
50.000	508474050.0	508474100.0	-50.0
55.000	508473900.0	508474050.0	-150.0
60.000	508473900.0	508474100.0	-200.0
65.000	508473850.0	508474150.0	-300.0
70.000	508473700.0	508474050.0	-350.0
75.000	508473500.0	508474100.0	-600.0
80.000	508473250.0	508474100.0	-850.0
85.000	508473000.0	508474000.0	-1000.0
90.000	508472800.0	508474100.0	-1300.0
95.000	508472550.0	508474100.0	-1550.0
100.000	508472350.0	508474050.0	-1700.0
105.000	508472100.0	508473950.0	-1850.0
110.000	508472050.0	508473950.0	-1900.0
115.000	508472000.0	508474000.0	-2000.0
120.000	508471900.0	508473900.0	-2000.0
125.000	508471800.0	508473900.0	-2100.0
130.000	508471850.0	508473950.0	-2100.0
135.000	508471750.0	508473900.0	-2150.0
140.000	508471750.0	508473900.0	-2150.0
145.000	508471900.0	508473900.0	-2000.0
150.000	508471900.0	508473900.0	-2000.0
155.000	508471900.0	508473900.0	-2000.0
160.000	508471900.0	508473950.0	-2050.0
165.000	508471900.0	508473900.0	-2000.0
170.000	508471900.0	508473900.0	-2000.0
175.000	508471900.0	508473900.0	-2000.0
180.000	508471950.0	508473900.0	-1950.0
185.000	508471950.0	508473900.0	-1950.0
190.000	508471900.0	508473900.0	-2000.0
195.000	508471900.0	508473900.0	-2000.0
200.000	508471850.0	508473900.0	-2050.0
205.000	508471750.0	508473900.0	-2150.0
210.000	508471900.0	508473900.0	-2000.0
215.000	508471800.0	508473850.0	-2050.0
220.000	508471850.0	508473850.0	-2000.0
225.000	508471750.0	508473900.0	-2150.0
230.000	508471750.0	508473900.0	-2150.0
235.000	508471750.0	508473900.0	-2150.0
240.000	508471750.0	508473900.0	-2150.0
245.000	508471750.0	508473900.0	-2150.0
250.000	508471750.0	508473900.0	-2150.0
255.000	508471900.0	508473850.0	-1950.0
260.000	508471900.0	508473800.0	-1900.0
265.000	508472050.0	508473750.0	-1700.0
270.000	508472250.0	508473850.0	-1600.0
275.000	508472300.0	508473850.0	-1550.0
280.000	508472550.0	508473850.0	-1300.0
285.000	508472800.0	508473750.0	-950.0
290.000	508473000.0	508473800.0	-800.0
295.000	508473150.0	508473700.0	-550.0
300.000	508473300.0	508473700.0	-400.0
305.000	508473400.0	508473750.0	-350.0
310.000	508473450.0	508473700.0	-250.0
315.000	508473500.0	508473700.0	-200.0
320.000	508473600.0	508473750.0	-150.0
325.000	508473500.0	508473750.0	-250.0
330.000	508473600.0	508473700.0	-100.0
335.000	508473500.0	508473700.0	-200.0
340.000	508473450.0	508473700.0	-250.0
345.000	508473250.0	508473700.0	-450.0
350.000	508473000.0	508473750.0	-750.0
355.000	508472650.0	508473700.0	-1050.0
360.000	508472250.0	508473700.0	-1450.0
365.000	508471550.0	508473700.0	-2150.0
370.000	508470550.0	508473700.0	-3150.0
375.000	508469300.0	508473700.0	-4400.0
380.000	508467850.0	508473700.0	-5850.0
385.000	508466250.0	508473700.0	-7450.0
390.000	508464500.0	508473600.0	-9100.0
395.000	508462850.0	508473700.0	-10850.0
400.000	508461400.0	508473700.0	-12300.0
405.000	508460250.0	508473700.0	-13450.0
410.000	508459250.0	508473700.0	-14450.0
415.000	508458600.0	508473600.0	-15000.0
420.000	508458250.0	508473500.0	-15250.0
425.000	508457800.0	508473500.0	-15700.0
430.000	508457700.0	508473600.0	-15900.0
435.000	508457800.0	508473500.0	-15700.0
440.000	508457750.0	508473500.0	-15750.0
445.000	508457900.0	508473600.0	-15700.0
450.000	508457900.0	508473500.0	-15600.0
455.000	508458050.0	508473600.0	-15550.0
460.000	508458200.0	508473500.0	-15300.0
465.000	508458400.0	508473500.0	-15100.0
470.000	508458500.0	508473500.0	-15000.0
475.000	508458500.0	508473450.0	-14950.0
480.000	508458600.0	508473500.0	-14900.0
485.000	508458650.0	508473500.0	-14850.0
490.000	508458650.0	508473500.0	-14850.0
495.000	508458650.0	508473500.0	-14850.0
500.000	508458500.0	508473500.0	-15000.0
505.000	508458400.0	508473500.0	-15100.0
