# Config: example.ini
# Date: Thu Jun 18 22:30:37 2015
# Center: 505225000.0
# Span: 100000.0
# Points: 2001
# P	f	f_ref	freq-t_ref
0.000	505238650.0	505238300.0	350.0
5.000	505238550.0	505238600.0	-50.0
10.000	505238300.0	505238650.0	-350.0
15.000	505238350.0	505238550.0	-200.0
20.000	505238550.0	505238650.0	-100.0
25.000	505238550.0	505238500.0	50.0
30.000	505238500.0	505238550.0	-50.0
35.000	505238650.0	505238450.0	200.0
40.000	505238500.0	505238500.0	0.0
45.000	505238500.0	505238450.0	50.0
50.000	505238200.0	505238650.0	-450.0
55.000	505237900.0	505238500.0	-600.0
60.000	505237750.0	505238600.0	-850.0
65.000	505237150.0	505238450.0	-1300.0
70.000	505236900.0	505238600.0	-1700.0
75.000	505235850.0	505238600.0	-2750.0
80.000	505235250.0	505238700.0	-3450.0
85.000	505234300.0	505238450.0	-4150.0
90.000	505233250.0	505238650.0	-5400.0
95.000	505232400.0	505238650.0	-6250.0
100.000	505231750.0	505238600.0	-6850.0
105.000	505230850.0	505238750.0	-7900.0
110.000	505230350.0	505238600.0	-8250.0
115.000	505230100.0	505238450.0	-8350.0
120.000	505229750.0	505238700.0	-8950.0
125.000	505229450.0	505238700.0	-9250.0
130.000	505229650.0	505238650.0	-9000.0
135.000	505229650.0	505238800.0	-9150.0
140.000	505229600.0	505238750.0	-9150.0
145.000	505229600.0	505238750.0	-9150.0
150.000	505229700.0	505238850.0	-9150.0
155.000	505229750.0	505238800.0	-9050.0
160.000	505229950.0	505238800.0	-8850.0
165.000	505230000.0	505238700.0	-8700.0
170.000	505230000.0	505238650.0	-8650.0
175.000	505230000.0	505238800.0	-8800.0
180.000	505229950.0	505238800.0	-8850.0
185.000	505230100.0	505238850.0	-8750.0
190.000	505230050.0	505238800.0	-8750.0
195.000	505230150.0	505238800.0	-8650.0
200.000	505230050.0	505238950.0	-8900.0
205.000	505230000.0	505239050.0	-9050.0
210.000	505229950.0	505238800.0	-8850.0
215.000	505229900.0	505238950.0	-9050.0
220.000	505229750.0	505238800.0	-9050.0
225.000	505229800.0	505238950.0	-9150.0
230.000	505229750.0	505238900.0	-9150.0
235.000	505229800.0	505239050.0	-9250.0
240.000	505229750.0	505239150.0	-9400.0
245.000	505229650.0	505238850.0	-9200.0
250.000	505230000.0	505239150.0	-9150.0
255.000	505230350.0	505239000.0	-8650.0
