# Config: example.ini
# Date: Wed Jun 17 16:45:03 2015
# Center: 500997000.0
# Span: 100000.0
# Points: 2001
# P	f	f_ref	freq-t_ref
0.000	501005600.0	501005700.0	-100.0
5.000	501005700.0	501005650.0	50.0
10.000	501005650.0	501005500.0	150.0
15.000	501005600.0	501005650.0	-50.0
20.000	501005450.0	501005600.0	-150.0
25.000	501005500.0	501005550.0	-50.0
30.000	501005400.0	501005700.0	-300.0
35.000	501005250.0	501005400.0	-150.0
40.000	501005250.0	501005500.0	-250.0
45.000	501004900.0	501005450.0	-550.0
50.000	501004550.0	501005600.0	-1050.0
55.000	501004000.0	501005600.0	-1600.0
60.000	501003250.0	501005550.0	-2300.0
65.000	501002050.0	501005500.0	-3450.0
70.000	501000550.0	501005400.0	-4850.0
75.000	500998800.0	501005400.0	-6600.0
80.000	500996500.0	501005400.0	-8900.0
85.000	500994200.0	501005450.0	-11250.0
90.000	500991700.0	501005400.0	-13700.0
95.000	500989450.0	501005500.0	-16050.0
100.000	500987350.0	501005400.0	-18050.0
105.000	500985750.0	501005400.0	-19650.0
110.000	500984450.0	501005350.0	-20900.0
115.000	500983450.0	501005250.0	-21800.0
120.000	500982950.0	501005450.0	-22500.0
125.000	500982400.0	501005250.0	-22850.0
130.000	500982300.0	501005350.0	-23050.0
135.000	500982200.0	501005350.0	-23150.0
140.000	500982100.0	501005250.0	-23150.0
145.000	500982200.0	501005250.0	-23050.0
150.000	500982250.0	501005300.0	-23050.0
155.000	500982400.0	501005300.0	-22900.0
160.000	500982450.0	501005300.0	-22850.0
165.000	500982500.0	501005150.0	-22650.0
170.000	500982450.0	501005200.0	-22750.0
175.000	500982450.0	501005250.0	-22800.0
180.000	500982400.0	501005250.0	-22850.0
185.000	500982350.0	501005250.0	-22900.0
190.000	500982250.0	501005000.0	-22750.0
195.000	500982150.0	501005200.0	-23050.0
200.000	500981900.0	501005150.0	-23250.0
205.000	500981700.0	501005200.0	-23500.0
210.000	500981550.0	501005000.0	-23450.0
215.000	500981400.0	501005250.0	-23850.0
220.000	500981050.0	501005050.0	-24000.0
225.000	500980750.0	501005100.0	-24350.0
230.000	500980750.0	501005100.0	-24350.0
