# Config: example.ini
# Date: Tue Jun 16 10:56:14 2015
# Center: 499500000.0
# Span: 100000.0
# Points: 2001
# P	f	f_ref	freq-t_ref
0.000	499506850.0	499506850.0	0.0
5.000	499506800.0	499506850.0	-50.0
10.000	499506800.0	499506800.0	0.0
15.000	499506800.0	499506800.0	0.0
20.000	499506750.0	499506800.0	-50.0
25.000	499506750.0	499506750.0	0.0
30.000	499506700.0	499506750.0	-50.0
35.000	499506650.0	499506750.0	-100.0
40.000	499506550.0	499506750.0	-200.0
45.000	499506400.0	499506750.0	-350.0
50.000	499506200.0	499506700.0	-500.0
55.000	499505950.0	499506700.0	-750.0
60.000	499505500.0	499506700.0	-1200.0
65.000	499504900.0	499506650.0	-1750.0
70.000	499504100.0	499506650.0	-2550.0
75.000	499503100.0	499506650.0	-3550.0
80.000	499501850.0	499506650.0	-4800.0
85.000	499500450.0	499506600.0	-6150.0
90.000	499499050.0	499506600.0	-7550.0
95.000	499497700.0	499506600.0	-8900.0
100.000	499496500.0	499506550.0	-10050.0
105.000	499495450.0	499506550.0	-11100.0
110.000	499494600.0	499506550.0	-11950.0
115.000	499494000.0	499506550.0	-12550.0
120.000	499493550.0	499506500.0	-12950.0
125.000	499493300.0	499506500.0	-13200.0
130.000	499493150.0	499506500.0	-13350.0
135.000	499493100.0	499506450.0	-13350.0
140.000	499493050.0	499506450.0	-13400.0
145.000	499493050.0	499506450.0	-13400.0
150.000	499493100.0	499506450.0	-13350.0
155.000	499493150.0	499506400.0	-13250.0
160.000	499493200.0	499506400.0	-13200.0
165.000	499493200.0	499506400.0	-13200.0
170.000	499493200.0	499506400.0	-13200.0
175.000	499493200.0	499506350.0	-13150.0
180.000	499493150.0	499506350.0	-13200.0
185.000	499493050.0	499506300.0	-13250.0
190.000	499493000.0	499506300.0	-13300.0
195.000	499492900.0	499506300.0	-13400.0
200.000	499492750.0	499506250.0	-13500.0
205.000	499492600.0	499506250.0	-13650.0
210.000	499492400.0	499506250.0	-13850.0
215.000	499492250.0	499506200.0	-13950.0
220.000	499492050.0	499506200.0	-14150.0
225.000	499491850.0	499506200.0	-14350.0
230.000	499491750.0	499506200.0	-14450.0
235.000	499491600.0	499506150.0	-14550.0
240.000	499491550.0	499506150.0	-14600.0
245.000	499491650.0	499506100.0	-14450.0
250.000	499491850.0	499506100.0	-14250.0
255.000	499492300.0	499506100.0	-13800.0
260.000	499493000.0	499506100.0	-13100.0
265.000	499493900.0	499506050.0	-12150.0
270.000	499495100.0	499506050.0	-10950.0
275.000	499496500.0	499506050.0	-9550.0
280.000	499498050.0	499506000.0	-7950.0
285.000	499499600.0	499506000.0	-6400.0
290.000	499501050.0	499505950.0	-4900.0
295.000	499502350.0	499505950.0	-3600.0
300.000	499503450.0	499505950.0	-2500.0
305.000	499504250.0	499505900.0	-1650.0
310.000	499504850.0	499505900.0	-1050.0
